FID *,Shape *,admin2Name *,admin2Pcod,admin2RefN,admin1Pcod,admin0Name,admin0Pcod,LGA_Name,num_1_ans
1,Polygon,Aba North,NG001001,Aba North,NG001,Nigeria,NG,ABA NORTH,1
2,Polygon,Aba South,NG001002,Aba South,NG001,Nigeria,NG,ABA SOUTH,1
3,Polygon,Abaji,NG015001,Abaji,NG015,Nigeria,NG,ABAJI,1
4,Polygon,Abak,NG003001,Abak,NG003,Nigeria,NG,ABAK,1
5,Polygon,Abakaliki,NG011001,Abakaliki,NG011,Nigeria,NG,ABAKALIKI,1
6,Polygon,Abeokuta North,NG028001,Abeokuta North,NG028,Nigeria,NG,ABEOKUTA NORTH,1
7,Polygon,Abeokuta South,NG028002,Abeokuta South,NG028,Nigeria,NG,ABEOKUTA SOUTH,1
8,Polygon,Abi,NG009001,Abi,NG009,Nigeria,NG,ABI,1
9,Polygon,Aboh-Mbaise,NG017001,Aboh-Mbaise,NG017,Nigeria,NG,ABOH-MBAISE,1
10,Polygon,Abua/Odual,NG033001,Abua/Odual,NG033,Nigeria,NG,ABUA/ODUAL,1
11,Polygon,Abuja Municipal,NG015002,Abuja Municipal,NG015,Nigeria,NG,ABUJA MUNICIPAL,1
12,Polygon,Adavi,NG023001,Adavi,NG023,Nigeria,NG,ADAVI,1
13,Polygon,Ado,NG007001,Ado,NG007,Nigeria,NG,ADO,1
14,Polygon,Ado-Odo/Ota,NG028003,Ado-Odo/Ota,NG028,Nigeria,NG,ADO-ODO/OTA,1
15,Polygon,Ado Ekiti,NG013001,Ado Ekiti,NG013,Nigeria,NG,ADO EKITI,1
16,Polygon,Afijio,NG031001,Afijio,NG031,Nigeria,NG,AFIJIO,1
17,Polygon,Afikpo North,NG011002,Afikpo North,NG011,Nigeria,NG,AFIKPO NORTH,1
18,Polygon,Afikpo South,NG011003,Afikpo South,NG011,Nigeria,NG,AFIKPO SOUTH,1
19,Polygon,Agaie,NG027001,Agaie,NG027,Nigeria,NG,AGAIE,1
20,Polygon,Agatu,NG007002,Agatu,NG007,Nigeria,NG,AGATU,1
21,Polygon,Agege,NG025001,Agege,NG025,Nigeria,NG,AGEGE,1
22,Polygon,Aguata,NG004001,Aguata,NG004,Nigeria,NG,AGUATA,1
23,Polygon,Agwara,NG027002,Agwara,NG027,Nigeria,NG,AGWARA,1
24,Polygon,Ahiazu-Mbaise,NG017002,Ahiazu-Mbaise,NG017,Nigeria,NG,AHIAZU-MBAISE,1
25,Polygon,Ahoada East,NG033002,Ahoada East,NG033,Nigeria,NG,AHOADA EAST,1
26,Polygon,Ahoada West,NG033003,Ahoada West,NG033,Nigeria,NG,AHOADA WEST,1
27,Polygon,Aiyedade,NG030001,Aiyedade,NG030,Nigeria,NG,AIYEDADE,1
28,Polygon,Aiyedire,NG030002,Aiyedire,NG030,Nigeria,NG,AIYEDIRE,1
29,Polygon,Aiyekire (Gbonyin),NG013002,Aiyekire (Gbonyin),NG013,Nigeria,NG,AIYEKIRE (GBONYIN),1
30,Polygon,Ajaokuta,NG023002,Ajaokuta,NG023,Nigeria,NG,AJAOKUTA,1
31,Polygon,Ajeromi-Ifelodun,NG025002,Ajeromi-Ifelodun,NG025,Nigeria,NG,AJEROMI-IFELODUN,1
32,Polygon,Ajingi,NG020001,Ajingi,NG020,Nigeria,NG,AJINGI,1
33,Polygon,Akamkpa,NG009002,Akamkpa,NG009,Nigeria,NG,AKAMKPA,1
34,Polygon,Akinyele,NG031002,Akinyele,NG031,Nigeria,NG,AKINYELE,1
35,Polygon,Akko,NG016001,Akko,NG016,Nigeria,NG,AKKO,1
36,Polygon,Akoko-Edo,NG012001,Akoko-Edo,NG012,Nigeria,NG,AKOKO-EDO,1
37,Polygon,Akoko North East,NG029001,Akoko North East,NG029,Nigeria,NG,AKOKO NORTH EAST,1
38,Polygon,Akoko North West,NG029002,Akoko North West,NG029,Nigeria,NG,AKOKO NORTH WEST,1
39,Polygon,Akoko South East,NG029003,Akoko South East,NG029,Nigeria,NG,AKOKO SOUTH EAST,1
40,Polygon,Akoko South West,NG029004,Akoko South West,NG029,Nigeria,NG,AKOKO SOUTH WEST,1
41,Polygon,Akuku Toru,NG033004,Akuku Toru,NG033,Nigeria,NG,AKUKU TORU,1
42,Polygon,Akure North,NG029005,Akure North,NG029,Nigeria,NG,AKURE NORTH,1
43,Polygon,Akure South,NG029006,Akure South,NG029,Nigeria,NG,AKURE SOUTH,1
44,Polygon,Akwanga,NG026001,Akwanga,NG026,Nigeria,NG,AKWANGA,1
45,Polygon,Albasu,NG020002,Albasu,NG020,Nigeria,NG,ALBASU,1
46,Polygon,Aleiro,NG022001,Aleiro,NG022,Nigeria,NG,ALEIRO,1
47,Polygon,Alimosho,NG025003,Alimosho,NG025,Nigeria,NG,ALIMOSHO,1
48,Polygon,Alkaleri,NG005001,Alkaleri,NG005,Nigeria,NG,ALKALERI,1
49,Polygon,Amuwo-Odofin,NG025004,Amuwo-Odofin,NG025,Nigeria,NG,AMUWO-ODOFIN,1
50,Polygon,Anambra East,NG004002,Anambra East,NG004,Nigeria,NG,ANAMBRA EAST,1
51,Polygon,Anambra West,NG004003,Anambra West,NG004,Nigeria,NG,ANAMBRA WEST,1
52,Polygon,Anaocha,NG004004,Anaocha,NG004,Nigeria,NG,ANAOCHA,1
53,Polygon,Andoni,NG033005,Andoni,NG033,Nigeria,NG,ANDONI,1
54,Polygon,Aninri,NG014001,Aninri,NG014,Nigeria,NG,ANINRI,1
55,Polygon,Aniocha North,NG010001,Aniocha North,NG010,Nigeria,NG,ANIOCHA NORTH,1
56,Polygon,Aniocha South,NG010002,Aniocha South,NG010,Nigeria,NG,ANIOCHA SOUTH,1
57,Polygon,Anka,NG037001,Anka,NG037,Nigeria,NG,ANKA,1
58,Polygon,Ankpa,NG023003,Ankpa,NG023,Nigeria,NG,ANKPA,1
59,Polygon,Apa,NG007003,Apa,NG007,Nigeria,NG,APA,1
60,Polygon,Apapa,NG025005,Apapa,NG025,Nigeria,NG,APAPA,1
61,Polygon,Ardo-Kola,NG035001,Ardo-Kola,NG035,Nigeria,NG,ARDO-KOLA,1
62,Polygon,Arewa-Dandi,NG022002,Arewa-Dandi,NG022,Nigeria,NG,AREWA-DANDI,1
