FID *,admin2Name *,admin2Pcod,admin2RefN,admin1Pcod,admin0Name,admin0Pcod,LGA_Name,A1,A2,A3
1,Aba North,NG001001,Aba North,NG001,Nigeria,NG,ABA NORTH,45.5,13.6,40.9
2,Aba South,NG001002,Aba South,NG001,Nigeria,NG,ABA SOUTH,12.5,25,62.5
3,Abaji,NG015001,Abaji,NG015,Nigeria,NG,ABAJI,53.8,38.5,7.7
4,Abak,NG003001,Abak,NG003,Nigeria,NG,ABAK,62.5,25,12.5
5,Abakaliki,NG011001,Abakaliki,NG011,Nigeria,NG,ABAKALIKI,14.3,28.6,57.1
6,Abeokuta North,NG028001,Abeokuta North,NG028,Nigeria,NG,ABEOKUTA NORTH,38.1,38.1,23.8
7,Abeokuta South,NG028002,Abeokuta South,NG028,Nigeria,NG,ABEOKUTA SOUTH,29.2,41.7,29.2
8,Abi,NG009001,Abi,NG009,Nigeria,NG,ABI,22.2,33.3,44.4
9,Aboh-Mbaise,NG017001,Aboh-Mbaise,NG017,Nigeria,NG,ABOH-MBAISE,47.6,23.8,28.6
10,Abua/Odual,NG033001,Abua/Odual,NG033,Nigeria,NG,ABUA/ODUAL,29.2,37.5,33.3
11,Abuja Municipal,NG015002,Abuja Municipal,NG015,Nigeria,NG,ABUJA MUNICIPAL,36,24,40
12,Adavi,NG023001,Adavi,NG023,Nigeria,NG,ADAVI,56.3,25,18.8
13,Ado,NG007001,Ado,NG007,Nigeria,NG,ADO,43.8,50,6.3
14,Ado-Odo/Ota,NG028003,Ado-Odo/Ota,NG028,Nigeria,NG,ADO-ODO/OTA,37.5,6.3,56.3
15,Ado Ekiti,NG013001,Ado Ekiti,NG013,Nigeria,NG,ADO EKITI,22.7,40.9,36.4
16,Afijio,NG031001,Afijio,NG031,Nigeria,NG,AFIJIO,31.3,37.5,31.3
17,Afikpo North,NG011002,Afikpo North,NG011,Nigeria,NG,AFIKPO NORTH,18.8,37.5,43.8
18,Afikpo South,NG011003,Afikpo South,NG011,Nigeria,NG,AFIKPO SOUTH,8.3,25,66.7
19,Agaie,NG027001,Agaie,NG027,Nigeria,NG,AGAIE,72.7,18.2,9.1
20,Agatu,NG007002,Agatu,NG007,Nigeria,NG,AGATU,42.1,42.1,15.8
21,Agege,NG025001,Agege,NG025,Nigeria,NG,AGEGE,44.4,22.2,33.3
22,Aguata,NG004001,Aguata,NG004,Nigeria,NG,AGUATA,53.8,38.5,7.7
23,Agwara,NG027002,Agwara,NG027,Nigeria,NG,AGWARA,42.1,10.5,47.4
24,Ahiazu-Mbaise,NG017002,Ahiazu-Mbaise,NG017,Nigeria,NG,AHIAZU-MBAISE,21.1,47.4,31.6
25,Ahoada East,NG033002,Ahoada East,NG033,Nigeria,NG,AHOADA EAST,47.1,11.8,41.2
26,Ahoada West,NG033003,Ahoada West,NG033,Nigeria,NG,AHOADA WEST,36.4,36.4,27.3
27,Aiyedade,NG030001,Aiyedade,NG030,Nigeria,NG,AIYEDADE,33.3,44.4,22.2
28,Aiyedire,NG030002,Aiyedire,NG030,Nigeria,NG,AIYEDIRE,11.1,50,38.9
29,Aiyekire (Gbonyin),NG013002,Aiyekire (Gbonyin),NG013,Nigeria,NG,AIYEKIRE (GBONYIN),31.3,43.8,25
30,Ajaokuta,NG023002,Ajaokuta,NG023,Nigeria,NG,AJAOKUTA,44.4,22.2,33.3
31,Ajeromi-Ifelodun,NG025002,Ajeromi-Ifelodun,NG025,Nigeria,NG,AJEROMI-IFELODUN,38.9,55.6,5.6
32,Ajingi,NG020001,Ajingi,NG020,Nigeria,NG,AJINGI,26.7,33.3,40
33,Akamkpa,NG009002,Akamkpa,NG009,Nigeria,NG,AKAMKPA,38.1,47.6,14.3
34,Akinyele,NG031002,Akinyele,NG031,Nigeria,NG,AKINYELE,42.1,47.4,10.5
