variable.name,list_name,name,label..english,label..somali,country,area,district,region,choice
consensus_note,yes_no,yes,Yes,Haa,,,,,
consensus_note,yes_no,no,No,Maya,,,,,
region,region,lower_juba,Lower Juba,Jubadda Hoose,,,,,
region,region,awdal,Awdal,Awdal,,,,,
region,region,bakool,Bakool,Bakool,,,,,
region,region,banadir,Banadir,Banadir,,,,,
region,region,bari,Bari,Bari,,,,,
region,region,bay,Bay,Bay,,,,,
region,region,galgaduud,Galgaduud,Galgaduud,,,,,
region,region,gedo,Gedo,Gedo,,,,,
region,region,hiraan,Hiraan,Hiraan,,,,,
region,region,lower_shabelle,Lower Shabelle,Shabellada Hoose,,,,,
region,region,middle_juba,Middle Juba,Jubadda Dhexe,,,,,
region,region,middle_shabelle,Middle Shabelle,Shabellada Dhexe,,,,,
region,region,mudug,Mudug,Mudug,,,,,
region,region,nugaal,Nugaal,Nugaal,,,,,
region,region,sanaag,Sanaag,Sanaag,,,,,
region,region,sool,Sool,Sool,,,,,
region,region,togdheer,Togdheer,Togdheer,,,,,
region,region,woqooyi_galbeed,Woqooyi Galbeed,Woqooyi Galbeed,,,,,
district,district,kismayo,Kismayo,Kismayo,,,,lower_juba,
district,district,baki,Baki,Baki,,,,awdal,
district,district,borama,Borama,Borama,,,,awdal,
district,district,lughaye,Lughaye,Lughaye,,,,awdal,
district,district,zeylac,Zeylac,Zeylac,,,,awdal,
district,district,ceel_barde,Ceel Barde,Ceel Barde,,,,bakool,
district,district,rab_dhuure,Rab Dhuure,Rab Dhuure,,,,bakool,
district,district,tayeeglow,Tayeeglow,Tayeeglow,,,,bakool,
district,district,waajid,Waajid,Waajid,,,,bakool,
district,district,xudur,Xudur,Xudur,,,,bakool,
district,district,mogadishu,Mogadishu,Mogadishu,,,,banadir,
district,district,mogadishu_boondheere,Mogadishu-Boondheere,Mogadishu-Boondheere,,,,banadir,
district,district,mogadishu_cabdulcasiis,Mogadishu-Cabdulcasiis,Mogadishu-Cabdulcasiis,,,,banadir,
district,district,mogadishu_daynile,Mogadishu-Daynile,Mogadishu-Daynile,,,,banadir,
district,district,mogadishu_dharkenley,Mogadishu-Dharkenley,Mogadishu-Dharkenley,,,,banadir,
district,district,mogadishu_hawl_wadaag,Mogadishu-Hawl Wadaag,Mogadishu-Hawl Wadaag,,,,banadir,
district,district,mogadishu_heliwa,Mogadishu-Heliwa,Mogadishu-Heliwa,,,,banadir,
district,district,mogadishu_hodan,Mogadishu-Hodan,Mogadishu-Hodan,,,,banadir,
district,district,mogadishu_karaan,Mogadishu-Karaan,Mogadishu-Karaan,,,,banadir,
district,district,mogadishu_shangaani,Mogadishu-Shangaani,Mogadishu-Shangaani,,,,banadir,
district,district,mogadishu_shibis,Mogadishu-Shibis,Mogadishu-Shibis,,,,banadir,
district,district,mogadishu_waaberi,Mogadishu-Waaberi,Mogadishu-Waaberi,,,,banadir,
district,district,mogadishu_wadajir,Mogadishu-Wadajir,Mogadishu-Wadajir,,,,banadir,
district,district,mogadishu_wardhiigleey,Mogadishu-Wardhiigleey,Mogadishu-Wardhiigleey,,,,banadir,
district,district,mogadishu_xamar_jabjab,Mogadishu-Xamar Jabjab,Mogadishu-Xamar Jabjab,,,,banadir,
district,district,mogadishu_xamar_weyne,Mogadishu-Xamar Weyne,Mogadishu-Xamar Weyne,,,,banadir,
district,district,mogadishu_yaaqshiid,Mogadishu-Yaaqshiid,Mogadishu-Yaaqshiid,,,,banadir,
district,district,bandarbayla,Bandarbayla,Bandarbayla,,,,bari,
district,district,bossaso,Bossaso,Bossaso,,,,bari,
district,district,caluula,Caluula,Caluula,,,,bari,
district,district,iskushuban,Iskushuban,Iskushuban,,,,bari,
district,district,qandala,Qandala,Qandala,,,,bari,
district,district,qardho,Qardho,Qardho,,,,bari,
district,district,baidoa,Baidoa,Baidoa,,,,bay,
district,district,buur_hakaba,Buur Hakaba,Buur Hakaba,,,,bay,
district,district,diinsoor,Diinsoor,Diinsoor,,,,bay,
district,district,qansax_dheere,Qansax Dheere,Qansax Dheere,,,,bay,
district,district,cabudwaaq,Cabudwaaq,Cabudwaaq,,,,galgaduud,
district,district,cadaado,Cadaado,Cadaado,,,,galgaduud,
district,district,ceel_buur,Ceel Buur,Ceel Buur,,,,galgaduud,
district,district,ceel_dheer,Ceel Dheer,Ceel Dheer,,,,galgaduud,
district,district,dhuusamarreeb,Dhuusamarreeb,Dhuusamarreeb,,,,galgaduud,
district,district,baardheere,Baardheere,Baardheere,,,,gedo,
district,district,belet_xaawo,Belet Xaawo,Belet Xaawo,,,,gedo,
district,district,ceel_waaq,Ceel Waaq,Ceel Waaq,,,,gedo,
district,district,doolow,Doolow,Doolow,,,,gedo,
district,district,garbahaarey,Garbahaarey,Garbahaarey,,,,gedo,
district,district,luuq,Luuq,Luuq,,,,gedo,
district,district,belet_weyne,Belet Weyne,Belet Weyne,,,,hiraan,
district,district,bulo_burto,Bulo Burto,Bulo Burto,,,,hiraan,
district,district,jalalaqsi,Jalalaqsi,Jalalaqsi,,,,hiraan,
district,district,afmadow,Afmadow,Afmadow,,,,lower_juba,
district,district,badhaadhe,Badhaadhe,Badhaadhe,,,,lower_juba,
district,district,jamaame,Jamaame,Jamaame,,,,lower_juba,
district,district,afgooye,Afgooye,Afgooye,,,,lower_shabelle,
district,district,baraawe,Baraawe,Baraawe,,,,lower_shabelle,
district,district,kurtunwaarey,Kurtunwaarey,Kurtunwaarey,,,,lower_shabelle,
district,district,marka,Marka,Marka,,,,lower_shabelle,
district,district,qoryooley,Qoryooley,Qoryooley,,,,lower_shabelle,
district,district,sablaale,Sablaale,Sablaale,,,,lower_shabelle,
district,district,wanla_weyn,Wanla Weyn,Wanla Weyn,,,,lower_shabelle,
district,district,buaale,Buaale,Buaale,,,,middle_juba,
district,district,jilib,Jilib,Jilib,,,,middle_juba,
district,district,sakow,Sakow,Sakow,,,,middle_juba,
district,district,aden_yabaal,Aden Yabaal,Aden Yabaal,,,,middle_shabelle,
district,district,balcad,Balcad,Balcad,,,,middle_shabelle,
district,district,cadale,Cadale,Cadale,,,,middle_shabelle,
district,district,jowhar,Jowhar,Jowhar,,,,middle_shabelle,
district,district,gaalkacyo,Gaalkacyo,Gaalkacyo,,,,mudug,
district,district,galdogob,Galdogob,Galdogob,,,,mudug,
district,district,hobyo,Hobyo,Hobyo,,,,mudug,
district,district,jariiban,Jariiban,Jariiban,,,,mudug,
district,district,xarardheere,Xarardheere,Xarardheere,,,,mudug,
district,district,burtinle,Burtinle,Burtinle,,,,nugaal,
district,district,eyl,Eyl,Eyl,,,,nugaal,
district,district,garowe,Garowe,Garowe,,,,nugaal,
district,district,ceel_afweyn,Ceel Afweyn,Ceel Afweyn,,,,sanaag,
district,district,ceerigaabo,Ceerigaabo,Ceerigaabo,,,,sanaag,
district,district,laasqoray,Laasqoray,Laasqoray,,,,sanaag,
district,district,caynabo,Caynabo,Caynabo,,,,sool,
district,district,laas_caanood,Laas Caanood,Laas Caanood,,,,sool,
district,district,taleex,Taleex,Taleex,,,,sool,
district,district,xudun,Xudun,Xudun,,,,sool,
district,district,burco,Burco,Burco,,,,togdheer,
district,district,buuhoodle,Buuhoodle,Buuhoodle,,,,togdheer,
district,district,owdweyne,Owdweyne,Owdweyne,,,,togdheer,
district,district,sheikh,Sheikh,Sheikh,,,,togdheer,
district,district,berbera,Berbera,Berbera,,,,woqooyi_galbeed,
