"","settlement","yes_no_host"
"1","other","yes"
"5","other","no"
"6","NA-3807-T09-004","yes"
"7","NA-3807-Q10-001","yes"
"12","NA-3807-R09-005","yes"
"15","NA-3807-R09-002","yes"
"16","NA-3807-F12-005","yes"
"21","NA-3704-F31-001","yes"
"26","NA-3802-W04-003","yes"
"28","NA-3802-X04-008","yes"
"31","NA-3802-X04-008","no"
"40","NA-3802-W04-003","no"
"50","NC-3810-H03-008","yes"
"58","NA-3801-E28-004","no"
"64","NA-3801-E28-004","yes"
"68","NA-3802-X04-006","yes"
"69","NA-3802-X04-005","yes"
"70","NA-3802-X04-004","yes"
"80","NA-3802-X04-003","yes"
"93","NA-3802-X04-007","yes"
"108","NA-3801-Y31-005","no"
"118","NA-3802-L02-003","no"
"131","NA-3802-X04-018","yes"
"133","NA-3802-X04-013","yes"
"134","NA-3802-M08-003","no"
"135","NA-3802-X04-009","yes"
"137","NA-3802-X04-018","no"
"139","NA-3802-X04-009","no"
"148","NA-3801-Y31-005","yes"
"156","NA-3802-X04-012","yes"
"164","NA-3802-X04-001","yes"
"253","NA-3802-X04-001","no"
"294","SA-3801-J13-001","yes"
"316","SA-3801-H13-001","no"
"357","SA-3801-J13-001","no"
"379","NA-3806-A18-004","yes"
"380","NA-3806-E13-001","yes"
"381","NA-3806-E13-003","yes"
"382","NA-3806-E12-001","yes"
"383","NA-3806-E13-007","yes"
"402","NA-3806-J12-003","yes"
"403","NA-3806-D14-009","no"
"404","NA-3802-Z15-004","yes"
"406","NA-3806-F14-007","yes"
"407","NA-3802-Y15-003","yes"
"408","NA-3806-D14-009","yes"
"438","NA-3806-E13-005","yes"
"441","NA-3806-E13-004","yes"
"496","NA-3806-H10-004","yes"
"498","NA-3806-D14-006","yes"
"504","NA-3806-E13-012","yes"
"515","NA-3806-E13-009","yes"
"516","NA-3806-E13-006","yes"
"529","NA-3806-D14-003","yes"
"534","NA-3806-D13-002","yes"
"544","NA-3801-E28-003","no"
"546","NB-3813-K30-001","no"
"547","NB-3814-X12-001","no"
"548","NB-3813-Y28-001","no"
"550","NB-3814-B14-002","yes"
"564","NA-3801-E28-003","yes"
"621","SA-3801-C13-002","yes"
"622","SA-3801-B13-001","yes"
"623","SA-3801-M05-001","yes"
"685","NA-3810-K15-001","no"
"755","NA-3801-J33-001","no"
"756","NA-3802-C06-001","yes"
"758","NA-3801-E28-002","no"
"759","NA-3801-K32-001","no"
"764","NA-3801-E31-001","no"
"795","NA-3807-V04-007","no"
"796","NA-3810-C28-011","yes"
"807","SA-3801-F14-001","yes"
"900","NB-3811-M31-001","yes"
"920","NA-3806-G14-006","yes"
"923","NA-3806-E14-004","yes"
"936","NA-3801-A28-001","no"
"1038","NA-3801-G28-002","no"
"1039","NA-3801-K31-001","yes"
"1041","NA-3801-Y33-006","no"
"1153","NA-3801-J32-002","no"
"1174","NA-3801-H27-001","no"
"1239","NB-3811-M31-003","yes"
"1267","NC-3909-M24-005","yes"
"1321","NC-3909-M24-003","yes"
"1326","NC-3901-T26-001","yes"
"1327","NC-3901-T26-001","no"
"1385","NC-3901-T26-002","yes"
"1529","NC-3901-T27-002","no"
"1546","NC-3909-K24-002","yes"
"1554","NC-3901-U20-001","yes"
"1557","NC-3810-L13-001","no"
"1618","NC-3810-L13-010","no"
"1621","NC-3810-L13-010","yes"
"1655","NC-3909-M24-008","yes"
"1768","NB-3815-B05-001","yes"
"1770","NB-3815-C06-001","yes"
"1772","NB-3815-D06-001","yes"
"1773","NB-3815-D04-001","yes"
"1776","NB-3815-E04-004","yes"
"1787","NB-3815-E04-002","yes"
"1802","NC-3810-L13-012","yes"
"1838","NC-3810-L13-012","no"
"1882","NB-3811-V07-001","yes"
"1895","NB-3811-V12-002","yes"
"1916","NC-3811-M12-004","yes"
"1917","NC-3811-K12-001","yes"
"1918","NC-3815-G25-001","yes"
"1919","NC-3810-S16-001","yes"
"1927","NC-3810-S16-001","no"
"1946","NC-3901-W05-001","yes"
"1958","NC-3909-F27-001","yes"
"1961","NB-3815-E05-005","yes"
"1968","NB-3815-F05-004","yes"
"1983","NB-3815-G05-001","yes"
"2004","NC-3909-F27-001","no"
"2009","NC-3810-N29-001","yes"
"2044","NB-3811-Z07-001","yes"
"2045","NB-3811-Y07-001","yes"
"2053","NC-3909-G19-001","no"
"2066","NC-3811-M13-002","no"
