list_name,name,label,zone_sante,province
organisation,NRC,NRC,,
organisation,AIDES,AIDES,,
organisation,caritas_goma,Caritas Goma,,
organisation,AIRD,AIRD,,
organisation,AHADI,AHADI,,
organisation,BIFERD,BIFERD,,
organisation,PASMU,PASMU,,
organisation,croix_rouge_nk,Croix Rouge NK,,
organisation,RCID,RCID,,
organisation,OVG,OVG,,
organisation,mercy_corps,Mercy Corps,,
organisation,caritas_bunia,Caritas Bunia,,
organisation,samaritan_purse,Samaritan's Purse,,
organisation,DRC,DRC,,
organisation,ADSSE,ADSSE,,
organisation,ADRA,ADRA,,
organisation,WHH,WHH,,
organisation,RSAD,RSAD,,
organisation,PPSSP,PPSSP,,
genre,feminin,Féminin,,
genre,masculin,Masculin,,
type_localite,village,Village (zone rurale),,
type_localite,cite,Cité (zone péri-urbaine),,
type_localite,quartier,Quartier (zone urbaine),,
source_eau,robinet_borne_fontaine,Robinet public / borne fontaine,,
source_eau,robinet_parcelle,Robinet dans la concession / jardin / parcelle,,
source_eau,robinet_voisin,Robinet chez le voisin,,
source_eau,puits_pompe_forage,Puits à pompe / forage,,
source_eau,puits_creuse_amenage,Puits creusé aménagé,,
source_eau,puits_non_amenage,Puits non aménagé,,
source_eau,source_amenagee,Source aménagée,,
source_eau,source_non_amenagee,Source non aménagée,,
source_eau,eau_de_pluie,Eau de pluie,,
source_eau,charrette_citerne,Charrette avec petite citerne,,
source_eau,camion_citerne,Camion-citerne,,
source_eau,kiosque_eau,Kiosque à eau,,
source_eau,eau_surface,"Eau de surface (rivière, barrage, lac, mare, courant, canal, système d’irrigation)",,
source_eau,eau_bouteille,Eau en bouteille,,
source_eau,eau_sachet,Eau en sachet,,
source_eau,ne_sait_pas,Ne sait pas,,
source_eau,autre,Autre,,
coping_eau,reduction_boisson,Ils réduisent la quantité d’eau qu’ils boivent,,
coping_eau,reduction_hygiene,Ils réduisent la quantité d’eau qu’ils utilisent pour les pratiques d’hygiène,,
coping_eau,collecte_pt_moins_accessible,"Ils collectent l’eau d’un point d’eau moins accessible (plus loin, temps d’attente plus long) que celui d’où ils collectent l’eau habituellement",,
coping_eau,collecte_moindre_qualite,Ils collectent de l’eau d’une qualité pire que celle qu'ils collectent habituellement,,
coping_eau,autre,Autre,,
coping_eau,ne_sait_pas,Ne sait pas,,
materiaux,bambou,Bambou,,
materiaux,roseau,Roseau,,
materiaux,planche,Planches (bois),,
materiaux,sticks,Sticks,,
materiaux,briques_adobe,Briques d'adobe,,
materiaux,briques_cuites,Briques cuites,,
materiaux,blocs_ciment,Blocs de ciment ou ciment,,
materiaux,corde_ficelle,Corde/ficelle,,
materiaux,bois_perches_rondins,Bois/perches/rondins,,
materiaux,tole,Tôle,,
materiaux,paille,Paille,,
materiaux,clous,Clous,,
materiaux,outils,Outils,,
materiaux,aucune,Aucun de ces matériaux est disponible,,
materiaux,ne_sait_pas,Ne sait pas,,
materiaux2,bassines,Bassines,,
materiaux2,seaux,Seaux,,
materiaux2,jerricanes,Jerricanes,,
materiaux2,bidons_eau,Bidons de stockage d’eau,,
materiaux2,savon,Savon,,
materiaux2,poudre_lessive,Poudre à lessiver,,
materiaux2,produits_traitement_eau,"Produits de traitement de l’eau (Aquatabs, etc.)",,
materiaux2,produits_purification_eau,Produits de purification de l'eau,,
materiaux2,chlore_liquide,Chlore liquide,,
materiaux2,aucune,Aucun de ces matériaux est disponible,,
materiaux2,ne_sait_pas,Ne sais pas,,
