@_uuid,correct_index,strata,area_urban_rural,area_km,area_km_2,weight,adm1Pcode,adm1NameLa,FCS_4pt,FSI,num_children,has_children,edu_pin_bin,edu_pin_bin_population,health_pin_bin,food_pin_bin,shelter_pin_bin?,wash_pin_bin,pin_number_sectors,overlap_edu_health,overlap_edu_food,overlap_edu_shelter,overlap_edu_wash,overlap_health_food,overlap_health_shelter,overlap_health_wash,overlap_food_shelter,overlap_food_wash,overlap_shelter_wash
8b646dea-3468-4260-b727-dc3d0a05f3f9,1,"20KM_Urban_>100,000",big_urban,5-20km,20km,2.386517631331470,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9c8b2563-9f5e-457b-a069-c80f3f293cd6,2,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.525181768323519,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01da2ba5-155b-4975-8f10-45bae0d180e7,3,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.525181768323519,UKR14,Donetska,1,2,1,1,1,1,1,0,1,0,3,1,0,1,0,0,1,0,0,0,0
4d3e6f51-1ad1-4958-82a7-dda0b2a292c5,4,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.525181768323519,UKR14,Donetska,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7ae215c3-cfd2-47f7-b932-9d80cc874705,5,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.525181768323519,UKR14,Donetska,1,3,0,0,,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0
66a00caf-8768-48be-8e4a-9d8249b386db,6,"20KM_Urban_<100,000",small_urban,5-20km,20km,0.525181768323519,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
d5c6e368-cad4-4e7a-a476-bd5ee2430a9b,7,"5KM_Urban_<100,000",small_urban,5km,20km,0.059772890014484,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7f0373a6-52b1-4502-950b-1f4315937e55,8,"5KM_Urban_<100,000",small_urban,5km,20km,0.059772890014484,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4806e409-5bf0-4a79-b780-e27eaf2e6b57,9,"5KM_Urban_<100,000",small_urban,5km,20km,0.329563850476355,UKR14,Donetska,1,2,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
07861cac-5421-46c3-96bb-185aa58b7339,10,"5KM_Urban_<100,000",small_urban,5km,20km,0.329563850476355,UKR14,Donetska,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
