COMPOSITE INDICATORS: WEIGHTED COUNTS,,,,,,,,
only white cells should be filled out. Blue are only haeders. Grey are documentation / empy cells,Enter a variable name for the new indicator you want to create. This should be the same for all rows within one indicator block (dark blue heading),Enter the name of the variable going into the composite indicator. The  spelling must exactly match the column header in the dataset - select from the drop down. This should be the same for one input variable block (light blue header),the type of the condition. ,value that the variable takes on to be counted in the composite indicator. All answers not specified will be counted as 0,weight in the composite indicator if the variable takes on the value in D,,,
,new.var.name,var,value,condition,weight,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,education_index,calc_nb_children_not_attending,0,Larger,1,,,
input variable,,,,,,,,
,education_index,calc_nb_children_not_enrolled,0,Larger,1,,,
input variable,,,,,,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/health_issue,Equal,1,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/limited_transport_fuel,Equal,1,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/hh_work_employment,Equal,1,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/cant_afford_fees,Equal,2,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/cant_pay_edu_materials,Equal,2,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/no_quality_education,Equal,3,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/damaged_school,Equal,3,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/displaced,Equal,3,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/unsafe_route,Equal,3,,,
,education_index,reasons_noaccess_dropped_school,reasons_noaccess_dropped_school/violence_against_children,Equal,3,,,
,education_index,reasons_noaccess_dropped_school,,Else,0,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,education_PIN,education_index,1,Smaller Equal,0,,,
,education_PIN,education_index,1,Larger,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,shelter_index,shelter_condition,1. No damage / negligible damage,Equal,0,,,
,shelter_index,shelter_condition,"2. Light damage (repairs needed, but shelter is livable)",Equal,1,,,
,shelter_index,shelter_condition,3. Medium damage,Equal,1,,,
,shelter_index,shelter_condition,4. Heavy damage (shelter is not livable without repairs),Equal,2,,,
,shelter_index,shelter_condition,5. Destroyed (shelter needs to be reconstructed),Equal,2,,,
input variable,,,,,,,,
,shelter_index,threat_eviction,"1. Yes, have been threatened with eviction",Equal,1,,,
,shelter_index,threat_eviction,"2. Yes, have been recently evicted",Equal,1,,,
,shelter_index,threat_eviction,,Else,0,,,
input variable,,,,,,,,
,shelter_index,first_electricity_source,3. No source of electricity in shelter,Equal,1,,,
,shelter_index,first_electricity_source,,Else,0,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,shelter_PIN,shelter_index,1,Smaller Equal,0,,,
,shelter_PIN,shelter_index,1,Larger,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,NFI_index,cooking_fuel,"2. Yes, but irregular access to this type of fuel",Equal,1,,,
,NFI_index,cooking_fuel,3. No access to this type of fuel,Equal,2,,,
input variable,,,,,,,,
,NFI_index,vehicle_fuel,"2. Yes, but irregular access to this type of fuel",Equal,1,,,
,NFI_index,vehicle_fuel,3. No access to this type of fuel,Equal,2,,,
input variable,,,,,,,,
,NFI_index,generator_fuel,"2. Yes, but irregular access to this type of fuel",Equal,1,,,
,NFI_index,generator_fuel,3. No access to this type of fuel,Equal,2,,,
input variable,,,,,,,,
,NFI_index,heating_fuel,"2. Yes, but irregular access to this type of fuel",Equal,1,,,
,NFI_index,heating_fuel,3. No access to this type of fuel,Equal,2,,,
input variable,,,,,,,,
,NFI_index,access_heating/no,1,Equal,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,NFI_PIN,NFI_index,4,Smaller Equal,0,,,
,NFI_PIN,NFI_index,4,Larger,1,,,
INDICATOR,,,,,,,,
input variable,,,,,,,,
,Health_index,nohealthaccess,yes,Equal,1,,,
input variable,,,,,,,,
,Health_index,chronicdisease_medecine,"2. Limited access (sometimes, limited quantity..)",Equal,1,,,
