type,name,label,required,default,relevant,appearance,constraint,constraint_message::English (en),label::Arabic (ar),constraint_message::Arabic (ar),choice_filter,calculation,hint::English (en),hint::Arabic (ar),repeat_count
start,start,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,
today,today,,,,,,,,,,,,,,
deviceid,device_id,,,,,,,,,,,,,,
select_one organisation_name,organisation_name,Please select your organisation:,yes,,,quick,,,???? ?????? ??????:,,,,,,
select_one enumerator_id,enumerator_id,Name of enumerator or ID,yes,,,quick,,,???? ?????????/ ??????,,organisation = ${organisation_name},,,,
calculate,pull_name,,,,,,,,,,,"pulldata('unique_identifier', 'name', 'name_key', ${enumerator_id})",,,
note,enumerator_name,"The holder of this id is ${pull_name}, if this is not your name please go back and select the appropriate id",,,,,,,"???? ??? ?????? ?? ${pull_name}  ??? ?? ??? ??? ???? ? ???? ?????? ?????? ?????? ????????",,,,,,
select_one Mantika,Mantika,Mantika (Admin 2):,yes,,,quick,,,?????,,,,,,
select_one Baladiya,Baladiya,Baladiya (Admin 3):,yes,,,quick,,,?????,,Mantika=${Mantika},,,,
select_one area_code,area_code,Please select the area code you are currently doing the survey,yes,,,quick,,,???? ????? ??? ??????? ???? ???? ???? ?????,,Mantika=${Mantika},,,,
select_one point_code,point_code,Please select the the point code you are interviewing,yes,,,quick,,,???? ?????? ?????? ???? ??? ??? ?????,,area_code=${area_code},,Look in the app My Maps (id_XXX),???? ??? ?????  My Maps (id_XXX) ,
geopoint,geolocation,Please take the GPS coordinates of the survey location,yes,,,,,,??? ???????? GPS,,,,,,
note,introduction_paragraph,"Hi, my name is ${pull_name} I am working with ${organisation_name} on behalf of a project from ACTED, an international organisation based in Libya.  We are conducting a survey to provide current information on critical needs and priorities for humanitarian actors supporting vulnerable communities across Libya. We value your participation in this survey which should take approximately 30 minutes to conduct. Many thanks in advance for your cooperation.",,,,,,,"????,????  ${pull_name}  ??? ?? ${organisation_name}  ?????? ????? ?? ??? ACTED, ????? ?????? ??? ??? ?? ?????. ??? ???? ?????????? ???? ??????? ?? ???????? ??????? ? ????????? ????? ???????? ????????? ???????? ??????? ??????? ????????? ?? ?????. ???? ????? ??????? ?? ??? ????????? ???? ?? ?????? 30 ?????. ???? ????? ??? ???????.",,,,,,
select_one yes_no,consent,Do you consent participating in this survey?,yes,,,quick,,,?? ????? ??? ???????? ?? ??????????,,,,,,
begin_group,consented,consented,yes,,${consent} = 'yes',,,,???????? ,,,,,,
,,,,,,,,,,,,,,,
begin_group,bio_data,Bio Data,yes,,,,,,??????? ?????,,,,,,
select_one displacement_status,displacement_status,What is the displacement status of most members of this household? ,yes,,,quick,,,??? ?? ??? ????? ???? ????? ?????? ? ,,,,,"???? ??????: ???  ??? ?? ?????? ???? ??? ??? ?? ?????? ?? ??? ???????? ? ??? ?? ????????.",
select_one yes_no,HoH,Is the interviewee the head of household? ,yes,,,quick,,,?? ????? ???? ??? ??????? ?? ?? ???????,,,,,"?? ?????? : ""????? ??????? ??????? ?? ????? ???????? ??????? ????? ?? ?????? ? ??? ?? ??? ???????? ??????? ??????????""",
