stratum,population
adjumani,41135
agojo,754
alere_ii,1224
ayilo,6615
baratuku,1469
boroli,2555
elema,148
maaji,6859
mirieyi,904
mungula,1190
nyumanzi,8359
oliji,274
olua,2448
pagrinya,6392
arua,146627
rhino_camp,23291
imvepi,21237
hoima,120350
kyangwali,7158
isingiro,87551
nakivale,20281
oruchinga,1370
kamwenge,80031
rwamwanja,15170
kiryandongo,49768
kiryandongo_settlement,11440
koboko,31161
lobule,418
kyegegwa,56267
kyaka_ii,5517
lamwo,27468
palabek,2214
moyo,25867
palorinya,24797
yumbe,63773
bidibidi,57194
