COMPOSITE INDICATORS: WEIGHTED COUNTS,,,,,,,
only white cells should be filled out. Blue are only haeders. Grey are documentation / empy cells,Enter a variable name for the new indicator you want to create. This should be the same for all rows within one indicator block (dark blue heading),Enter the name of the variable going into the composite indicator. The  spelling must exactly match the column header in the dataset - select from the drop down. This should be the same for one input variable block (light blue header),the type of the condition. ,value that the variable takes on to be counted in the composite indicator. All answers not specified will be counted as 0,weight in the composite indicator if the variable takes on the value in D,,
,new.var.name,var,condition,value,weight,,
COMPOSITE INDICATOR,,,,,,copy this block to add more composite indicators,
input variable,,,,,,,
,prio_needs_water_food,priority_needs,all,water food,10,,
,prio_needs_no_water_food,priority_needs,none,water food,1,,
,combotest,priority_needs,all,water food,10,,
,combotest,girls_harsh_work_type,any,heat_exposure family_business domestic_work,1,,
,,,,,,,
input variable,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
