,,,,,
,first strata name variable,second strata name variable,third strata name variable,population,
variable name:,unidstrata,,,,
choices (all combinations in the data):,afmadowHC,,,9240.028712,
,baidoaHC,,,52600.3042,
,bandarbaylaHC,,,162.5901776,
,berberaHC,,,11384.50851,
,boramaHC,,,38855.10465,
,bossasoHC,,,33703.6049,
,burcoHC,,,53961.05497,
,burtinleHC,,,5371.77777,
,buur hakabaHC,,,11097.72865,
,caynaboHC,,,4552.855444,
,ceel afweynHC,,,7368.837458,
,dhuusamarreebHC,,,13572.61639,
,eylHC,,,823,
,garoweHC,,,9928.607735,
,gebileyHC,,,11164.06513,
,jariibanHC,,,1083.68093,
,kismayoHC,,,17481.21282,
,lughayeHC,,,4754.515586,
,qandalaHC,,,656.6535581,
,qansax dheereHC,,,1600,
,qardhoHC,,,13097.53655,
,waajidHC,,,13007.64012,
,zeylacHC,,,4009.820326,
,afmadowIDP,,,1958,
,baardheereIDP,,,1263,
,baidoaIDP,,,40067,
,belet_xaawoIDP,,,4077,
,berberaIDP,,,2292,
,boramaIDP,,,1378,
,bossasoIDP,,,22634,
,burcoIDP,,,11405,
,burtinleIDP,,,1036,
,cadaadoIDP,,,1986,
,caynaboIDP,,,3030,
,ceel_afweynIDP,,,200,
,ceerigaaboIDP,,,670,
,dhuusamarreebIDP,,,6458,
,garoweIDP,,,7917,
,gebileyIDP,,,550,
,hargeysaIDP,,,14789,
,kismayoIDP,,,12035,
,lughayeIDP,,,437,
,mogadishu_daynileIDP,,,41604,
,mogadishu_hodanIDP,,,2277,
,mogadishu_kahdaIDP,,,75654,
,qardhoIDP,,,2435,
,waajidIDP,,,2817,
,jowharIDP,,,4237,
,baardheereHC,,,533,
,badhaadheHC,,,8912.864234,
,belet xaawoHC,,,1091.198443,
,bulo burtoHC,,,5128,
,cabudwaaqHC,,,6520,
,cabudwaaqIDP,,,10484,
,ceel bardeHC,,,6625,
,ceel bardeIDP,,,318,
,ceel waaqHC,,,2979.637174,
,garbahaareyHC,,,5127.253309,
,hargeysaHC,,,106092.6688,
,hobyoHC,,,1456.656659,
,iskushubanHC,,,9810,
,afgooyeHC,,,21389,
,markaHC,,,48742,
,qoryooleyHC,,,20871,
,afgooyeIDP,,,2143,
,wanla_weynIDP,,,472,
,luuqHC,,,3868.37614,
,luuqIDP,,,100,
,xudurIDP,,,4241,
,xuudurHC,,,12741,
,ceerigaaboHC,,,12855,
,mogadishu_daynileHC,,,13216.00171,
,mogadishu_hodanHC,,,13216.00171,
,mogadishu_kahdaHC,,,13216.00171,
,cadaadoHC,,,6674,
,balcadHC,,,19695,
,cadaleHC,,,2111,
,jowharHC,,,18068,
,wanla_weynHC,,,49751,
,gaalkacyoHC,,,23531,
,gaalkacyoIDP,,,17774,
,belet_weyneHC,,,19531,
,belet_weyneIDP,,,12770,
,laasqorayHC,,,30539.07515,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
