subcounty,households
adropi,2287
adumi,5939
agoro,3553
arivu,4858
ayivuni,4548
buhimba,8729
buseruka,8896
ciforo,3243
dranya,2371
gimara,2397
hapuuyo,9825
kabambiro,3639
kabingo,4498
kabwoya,13761
kamwenge,4947
kasule,5140
kerwa,4153
kigorobya,12889
kigumba,8565
kikagate,11171
kiryandongo,15544
kitoba,7476
koboko_tc,6016
kochi,5379
kuluba,5993
kuru,5128
lefori,2236
lobule,4955
lokung,3358
mahyoro,6811
metu,5738
moyo_tc,2127
mutunda,12683
ngarama,7028
nkoma,6851
ntara,5866
odravu,6509
oluko,7291
omugo,7887
pacara,3006
padibe_tc,2053
pakele,9385
palabek_kal,2932
palabek_ogili,1913
rugaaga,6828
rwentuha,7499
