"","x"
"education_pin&protection_pin",0.00276585211058137
"education_pin&food_pin",0.0387431415308992
"education_pin&livelihood_pin",0.118492070983234
"education_pin&nfi_pin",0.120272772259538
"education_pin&wash_pin",0.127457530533246
"health_pin&protection_pin",0.00227260081024435
"health_pin&food_pin",0.0350970258305453
"health_pin&livelihood_pin",0.130748209821462
"health_pin&nfi_pin",0.135661942949164
"health_pin&wash_pin",0.135415094079768
"protection_pin&food_pin",0.00359689743329551
"protection_pin&livelihood_pin",0.00436506600919248
"protection_pin&nfi_pin",0.00493656116362331
"protection_pin&wash_pin",0.00489091991282921
"food_pin&livelihood_pin",0.0564690336357444
"food_pin&nfi_pin",0.0587906281845753
"food_pin&wash_pin",0.0548993352820735
"livelihood_pin&nfi_pin",0.202437882939759
"livelihood_pin&wash_pin",0.193520650811678
"nfi_pin&wash_pin",0.208768142667814
"education_pin&health_pin&protection_pin",0.00122157566043458
"education_pin&health_pin&food_pin",0.018960136110782
"education_pin&health_pin&livelihood_pin",0.0569805702125424
"education_pin&health_pin&nfi_pin",0.054915286629317
"education_pin&health_pin&wash_pin",0.0625072496848088
"education_pin&protection_pin&food_pin",0.00139321147689859
"education_pin&protection_pin&livelihood_pin",0.00144926117324212
"education_pin&protection_pin&nfi_pin",0.00202846359671918
"education_pin&protection_pin&wash_pin",0.00194828692639472
"education_pin&food_pin&livelihood_pin",0.0230402499109227
"education_pin&food_pin&nfi_pin",0.0226583345045795
"education_pin&food_pin&wash_pin",0.0237547030589121
"education_pin&livelihood_pin&nfi_pin",0.0611138089943617
"education_pin&livelihood_pin&wash_pin",0.0675167367988536
"education_pin&nfi_pin&wash_pin",0.0735103564709443
"health_pin&protection_pin&food_pin",0.0012164565469187
"health_pin&protection_pin&livelihood_pin",0.00101347308194504
"health_pin&protection_pin&nfi_pin",0.00132077228434149
"health_pin&protection_pin&wash_pin",0.00155600531607017
"health_pin&food_pin&livelihood_pin",0.0193776883661002
"health_pin&food_pin&nfi_pin",0.0231428961568897
"health_pin&food_pin&wash_pin",0.0232524843413145
"health_pin&livelihood_pin&nfi_pin",0.0627100498150104
"health_pin&livelihood_pin&wash_pin",0.0696699638728005
"health_pin&nfi_pin&wash_pin",0.0808312111167093
"protection_pin&food_pin&livelihood_pin",0.00207232307520668
"protection_pin&food_pin&nfi_pin",0.00336324227953041
"protection_pin&food_pin&wash_pin",0.00287496158229538
