"","repeat.var","repeat.var.value","shelter_in_need...NA...NA...NA","shelter_in_need...What.is.the.intended.group.for.this.interview....NA...Internally.Displaced.Persons..IDPs.","shelter_in_need...What.is.the.intended.group.for.this.interview....NA...Non.displaced","shelter_in_need...What.is.the.intended.group.for.this.interview....NA...Returnees","shelter_scale...NA...NA...NA","shelter_scale...What.is.the.intended.group.for.this.interview....NA...Internally.Displaced.Persons..IDPs.","shelter_scale...What.is.the.intended.group.for.this.interview....NA...Non.displaced","shelter_scale...What.is.the.intended.group.for.this.interview....NA...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....5...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....5...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....5...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....6...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....6...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....6...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Don.t.know...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Don.t.know...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Don.t.know...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Firewood...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Firewood...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Firewood...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Kerosene.lamp...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Kerosene.lamp...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Kerosene.lamp...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....No.response...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....No.response...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....No.response...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Solar.lantern...Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Solar.lantern...Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Solar.lantern...Returnees","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Torchlight..battery....Internally.Displaced.Persons..IDPs.","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Torchlight..battery....Non.displaced","What.is.the.most.commonly.used.fuel.type.for.LIGHTING.in.your.household....What.is.the.intended.group.for.this.interview....Torchlight..battery....Returnees","minibarchart.repeat.var.value","minibarchart.safe_fuel_light___group___1","minibarchart.safe_fuel_light___group___2","minibarchart.safe_fuel_light___group___3","report_barchart.repeat.var.value","report_barchart.shelter_scale___group","report_barchart.shelter_in_need___group","report_barchart.safe_fuel_light___group","report_barchart.shelter_in_need___","report_barchart.shelter_scale___","heatmap.repeat.var.value","heatmap.shelter_scale___group","heatmap.shelter_in_need___group","heatmap.safe_fuel_light___group"
"3","domain","central borno",0.0358967328322899,0.010646653568863,0.0410636217790874,0.182223755317926,1.63875260167133,NA,NA,NA,NA,NA,NA,0.00332780734462915,0.00071892879609382,0,0.0011577419848077,0.00141004980184846,0,0.0734699171535738,0.0977677399858178,0.134443129118017,0.00593799561489528,0.00513813030217247,0.00169206727502692,0.0054730850803649,0.00194097354723144,0.00360277490322333,0.114483290508683,0.0723922482513991,0.0231329768885823,0.796150162313046,0.820631929315437,0.837129051815151,"central borno","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central bornoInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central bornoNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central bornoReturnees.jpg","central borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___central borno_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central borno_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___central borno_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___central borno_report_barchart.jpg","central borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___central borno_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central borno_heatmap.jpg"
"9","domain","central yobe",0.0501423586530194,0.0199671869212099,0.0513300356884198,0.0196078431372549,1.82664246640644,NA,NA,NA,0.00260485471753077,0.0122860596224983,0,NA,NA,NA,NA,NA,NA,0.0102046623173384,0.0988014911096497,0.0645161290322581,0.0465899597478545,0.0174307173477724,0.0161290322580645,0,0.00174539936062198,0,0.00793017898281056,0.0163814128299977,0.021505376344086,0.932670344234466,0.85335491972946,0.897849462365591,"central yobe","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central yobeInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central yobeNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central yobeReturnees.jpg","central yobe",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___central yobe_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central yobe_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___central yobe_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___central yobe_report_barchart.jpg","central yobe",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___central yobe_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___central yobe_heatmap.jpg"
"2","domain","east borno",0.0428844457560121,0.0448947118656333,0.0293868640717599,0.0380916041289783,1.98357234666278,NA,NA,NA,NA,NA,NA,0,0,0.00336549900574589,NA,NA,NA,0.143569575498482,0.0181588641198139,0.030289491051713,0,0.00907943205990696,0,NA,NA,NA,0.0711034785015297,0.0151323867665116,0.111585869437292,0.785326945999988,0.957629317053768,0.854759140505249,"east borno","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___east bornoInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___east bornoNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___east bornoReturnees.jpg","east borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___east borno_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___east borno_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___east borno_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___east borno_report_barchart.jpg","east borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___east borno_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___east borno_heatmap.jpg"
"10","domain","mmc and jere",NA,NA,NA,NA,1.2405655136934,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.00492002002292677,0.0173913043478261,0.0638801720062999,0.12551104639054,0.0869565217391304,0.0151934553464245,0.0131822347618329,0.00869565217391304,0,0.00984004004585355,0,0.0440271907289725,0.0855912539008717,0.0347826086956522,0.876899181918303,0.760955404877975,0.852173913043478,"mmc and jere","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___mmc and jereInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___mmc and jereNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___mmc and jereReturnees.jpg","mmc and jere",NA,NA,"./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___mmc and jere_report_barchart.jpg",NA,"./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___mmc and jere_report_barchart.jpg","mmc and jere",NA,NA,"./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___mmc and jere_heatmap.jpg"
"6","domain","northern adamawa",0.0015048345878446,0.0205927063556105,0.000119120721301134,0.00575958605991308,1.46274832579322,NA,NA,NA,0.0166181873498947,0.00583378713944333,0.0039921929537342,0.000948842412257047,0,0,NA,NA,NA,0.0287114720041549,0.0687109324805319,0.0428051562184415,0,0.0232702765028277,0.0339673011940913,0,0,0.00135605437045023,0.000948842412257047,0.0184520954802519,0.0249863827310157,0.952772655821436,0.883732908396945,0.892892912532267,"northern adamawa","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern adamawaInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern adamawaNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern adamawaReturnees.jpg","northern adamawa",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___northern adamawa_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern adamawa_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___northern adamawa_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___northern adamawa_report_barchart.jpg","northern adamawa",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___northern adamawa_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern adamawa_heatmap.jpg"
"8","domain","northern borno",0.052610030262739,0.0699715273035366,0.0839374475729528,0.0189085726527753,2.00807920023492,NA,NA,NA,NA,NA,NA,0.000613689347241979,0.000307438168219153,0,0.0113072423927687,0,0,0.0243277817290975,0.0696623564861944,0.0118122198939504,0.00245475738896792,0.0395882514728016,0.00651510704161809,0.0306745302633461,0.0156286559512366,0.004481289119723,0.0650905016858964,0.0234562125387597,0.0113439523521809,0.865531497192681,0.851357085382789,0.965847431592528,"northern borno","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern bornoInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern bornoNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern bornoReturnees.jpg","northern borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___northern borno_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern borno_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___northern borno_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___northern borno_report_barchart.jpg","northern borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___northern borno_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern borno_heatmap.jpg"
"7","domain","northern yobe",0.00522614467946359,0.0017873838200517,0.00722380621953206,0,1.31650922259711,NA,NA,NA,0.153806456068728,0,0,NA,NA,NA,NA,NA,NA,0.110516211795071,0.00980823608707494,0.0487804878048781,0.000180457020293681,0.00804477281670916,0.0487804878048781,0.00150231901593063,0.00718942377679326,0,0,0.0196396034857373,0,0.733994556099977,0.955317963833685,0.902439024390244,"northern yobe","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern yobeInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern yobeNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern yobeReturnees.jpg","northern yobe",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___northern yobe_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern yobe_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___northern yobe_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___northern yobe_report_barchart.jpg","northern yobe",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___northern yobe_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___northern yobe_heatmap.jpg"
"4","domain","southern adamawa",NA,NA,NA,NA,1.29410543894015,NA,NA,NA,0.00615192929174941,0.00779802045966931,0,0,0.00277346861403345,0,NA,NA,NA,0.0385702604835884,0.101338133340847,0.0549792914561214,0.0123038585834988,0.0253802837077225,0.0672244077733673,0,0.00274583928394954,0,0.0256979324845228,0.0213841175773054,0.013960672396336,0.917276019156641,0.838580137016473,0.863835628374175,"southern adamawa","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern adamawaInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern adamawaNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern adamawaReturnees.jpg","southern adamawa",NA,NA,"./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern adamawa_report_barchart.jpg",NA,"./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___southern adamawa_report_barchart.jpg","southern adamawa",NA,NA,"./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern adamawa_heatmap.jpg"
"5","domain","southern borno",0.000923042640176761,0.0143006323606196,0,0.0061385091276265,0.687100522852837,NA,NA,NA,0.0104718714487505,0,0.00146226963938887,NA,NA,NA,NA,NA,NA,0.0365878267149548,0.103871552010607,0.0495018513152583,0.0366196883927908,0.0541001015729293,0.108430504550512,0.0208800195418291,0.00171678396681394,0.00795825312253062,0.0270865820315837,0.0551242601278126,0.0466038799333921,0.868354011870091,0.785187302321837,0.786043241438918,"southern borno","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern bornoInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern bornoNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern bornoReturnees.jpg","southern borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___southern borno_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern borno_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___southern borno_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___southern borno_report_barchart.jpg","southern borno",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___southern borno_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern borno_heatmap.jpg"
"1","domain","southern yobe",0.00739293399970621,0.0110695802185164,0.0075125528906194,0.00134289191338455,1.26351214753037,NA,NA,NA,0,0.0458596564140436,0.00494975638590309,NA,NA,NA,0,0.00245854985034705,0,0.147710902391753,0.0765650991792026,0.0536217806231099,0.00762571081720018,0.0545296292287699,0.00226292696261206,NA,NA,NA,0.00254190360573339,0.0589335237041712,0.120397379859434,0.842121483185313,0.761653541623466,0.818768156168941,"southern yobe","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern yobeInternally Displaced Persons (IDPs).jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern yobeNon-displaced.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern yobeReturnees.jpg","southern yobe",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___southern yobe_report_barchart.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern yobe_report_barchart.jpg","./output/charts/shelter_in_need___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___southern yobe_report_barchart.jpg","./output/charts/shelter_scale___direct_reporting___TRUE___CASE_direct_reporting_numerical____domain___southern yobe_report_barchart.jpg","southern yobe",NA,"./output/charts/shelter_in_need___group___group_difference___TRUE___CASE_group_difference_numerical_categorical___domain___southern yobe_heatmap.jpg","./output/charts/safe_fuel_light___group___group_difference___TRUE___CASE_group_difference_categorical_categorical___domain___southern yobe_heatmap.jpg"
