"","outside"
"cash for rent and food",0.00520833333333333
"cash for rent, transportation",0.00520833333333333
"electricity",0.00520833333333333
"food",0.0104166666666667
"Food",0.015625
"Food and house rent",0.0104166666666667
"food, transportation",0.00520833333333333
"Health care",0.421875
"Health care and cash for rent",0.00520833333333333
"Health care and cash for rent and transportation",0.00520833333333333
"Healthcare",0.00520833333333333
"House rent",0.015625
"House rent .food",0.00520833333333333
"N/A",0.453125
"pay debt",0.0104166666666667
"Rent",0.00520833333333333
"Rent of house, health care",0.00520833333333333
"Rent of the house",0.00520833333333333
"Water and electricity and rent of house",0.00520833333333333
