"","dahuk","ninewa"
"300-12C02169",0.03125,0
"300-12C02866",0.03125,0
"300-12C06652",0.03125,0
"300-12C07072",0.03125,0
"300-12C10821",0.03125,0
"300-12C10988",0.03125,0
"300-12C11779",0.03125,0
"300-12C14217",0.03125,0
"300-12C14551",0.03125,0
"300-12C14945",0.03125,0
"300-12C14968",0.03125,0
"300-12C15138",0.03125,0
"300-13C00852",0,0.5
"300-13C08657",0.03125,0
"300-13C12676",0.03125,0
"300-13C17747",0.03125,0
"300-13C18480",0.03125,0
"300-13C23418",0.03125,0
"300-13C23447",0.03125,0
"300-14C01004",0.03125,0
"300-14C02613",0.03125,0
"300-16C00143",0.03125,0
"300-16C01254",0.03125,0
"300-17C01919",0.03125,0
"586-17C00009",0.03125,0
"699-13C00289",0.03125,0
"699-14C00024",0.03125,0
"699-14C00692",0.03125,0
"699-15C01746",0.03125,0
"N/A",0.125,0.5
