"","dahuk","ninewa"
"2018-03-07T09:20:54.819+03",0.03125,0
"2018-03-07T09:26:06.296+03",0.03125,0
"2018-03-07T09:33:15.715+03",0.03125,0
"2018-03-07T09:38:33.093+03",0.03125,0
"2018-03-07T09:47:08.769+03",0.03125,0
"2018-03-07T09:48:10.507+03",0.03125,0
"2018-03-07T09:50:14.797+03",0.03125,0
"2018-03-07T09:55:48.959+03",0.03125,0
"2018-03-07T10:24:49.819+03",0.03125,0
"2018-03-07T10:46:37.122+03",0.03125,0
"2018-03-07T10:47:12.211+03",0.03125,0
"2018-03-07T10:51:46.669+03",0.03125,0
"2018-03-07T11:00:13.516+03",0.03125,0
"2018-03-07T11:11:03.508+03",0.03125,0
"2018-03-07T11:15:16.010+03",0,0.5
"2018-03-07T11:37:26.645+03",0.03125,0
"2018-03-07T11:38:07.524+03",0.03125,0
"2018-03-07T11:44:49.039+03",0.03125,0
"2018-03-07T11:49:53.084+03",0.03125,0
"2018-03-07T13:26:10.634+03",0.03125,0
"2018-03-07T13:29:08.125+03",0.03125,0
"2018-03-07T13:38:42.976+03",0.03125,0
"2018-03-07T14:12:11.322+03",0.03125,0
"2018-03-07T14:24:15.155+03",0.03125,0
"2018-03-07T14:27:20.043+03",0.03125,0
"2018-03-07T14:42:01.456+03",0.03125,0
"2018-03-07T14:56:48.168+03",0.03125,0
"2018-03-07T15:04:03.725+03",0.03125,0
"2018-03-07T15:04:55.100+03",0.03125,0
"2018-03-07T15:13:52.076+03",0.03125,0
"2018-03-07T15:33:47.132+03",0,0.5
"2018-03-07T15:39:15.280+03",0.03125,0
"2018-03-07T16:01:58.520+03",0.03125,0
"2018-03-07T16:18:38.697+03",0.03125,0
