"","kiryandongo"
"Alfred",0.0916666666666667
"Alfred ",0.0125
"Brian",0.025
"Brian ",0.0791666666666667
"Carol",0.00416666666666667
"Caroline",0.0916666666666667
"Caroline ",0.00833333333333333
"Irene",0.0208333333333333
"Irene ",0.075
"Jackie",0.0958333333333333
"Jackie ",0.00833333333333333
"John",0.1
"Kica",0.0625
"Kica ",0.0375
"Lucy",0.0458333333333333
"Lucy ",0.0583333333333333
"Violet  Biingi",0.0208333333333333
"Violet  Biingi ",0.00416666666666667
"Violet Biingi",0.0416666666666667
"Violet Biingi ",0.0333333333333333
"Wanda",0.0166666666666667
"Wanda ",0.0583333333333333
"Wanda Godfrey owor",0.00833333333333333
