"","kiryandongo"
"borrow_food",0.025
"buy_cheaper_food",0.179166666666667
"buy_cheaper_food limit_meal_size",0.0791666666666667
"buy_cheaper_food limit_meal_size borrow_food",0.00416666666666667
"buy_cheaper_food limit_meal_size only_children_eat skip_days",0.00416666666666667
"buy_cheaper_food limit_meal_size reduce_meal_number",0.0125
"buy_cheaper_food only_children_eat other",0.00416666666666667
"buy_cheaper_food reduce_meal_number",0.0291666666666667
"exchange_food",0.00833333333333333
"limit_meal_size",0.216666666666667
"limit_meal_size borrow_food",0.00416666666666667
"limit_meal_size reduce_meal_number",0.0125
"no_answer",0.00833333333333333
"none",0.270833333333333
"only_children_eat",0.0166666666666667
"other",0.0125
"reduce_meal_number",0.0916666666666667
"reduce_meal_number borrow_food",0.00416666666666667
"reduce_meal_number skip_days",0.00416666666666667
"reduce_meal_number skip_days borrow_food",0.00416666666666667
"skip_days",0.00833333333333333
