"","kiryandongo"
"1.7611711 31.9485576 1094.4 10.0",0.00416666666666667
"1.7629226 31.9581888 1082.4 10.0",0.00416666666666667
"1.7636156 31.9642042 1101.0 10.0",0.00416666666666667
"1.766245 32.11692166666667 1027.7 7.4",0.00416666666666667
"1.7668718 32.1163601 1017.9 10.0",0.00416666666666667
"1.7672733333333333 32.12160333333334 1021.0 7.5",0.00416666666666667
"1.7673449999999997 32.11844333333333 1029.0 7.2",0.00416666666666667
"1.7677183333333333 32.118759999999995 1027.2 7.2",0.00416666666666667
"1.7679837 31.965264 1093.1 10.0",0.00416666666666667
"1.7687889 31.9690877 1106.0 10.0",0.00416666666666667
"1.7694433333333333 32.116726666666665 1039.1 7.2",0.00416666666666667
"1.769695 32.001023333333336 1057.2 7.4",0.00416666666666667
"1.7697608 32.1409276 1027.2 10.0",0.00416666666666667
"1.7703716666666665 32.00267833333333 1048.7 7.3",0.00416666666666667
"1.77092 32.018275 1063.2 7.5",0.00416666666666667
"1.7714100000000002 31.998156666666667 1055.3 7.1",0.00416666666666667
"1.7716466666666668 32.006816666666666 1076.6 7.5",0.00416666666666667
"1.7719192 32.1139211 1033.8 10.0",0.00416666666666667
"1.7721367 32.0010333 1053.7 10.0",0.00416666666666667
"1.7724100000000003 32.010740000000006 1083.1 7.9",0.00416666666666667
"1.7727816666666665 31.962743333333332 1077.0 7.3",0.00416666666666667
"1.7739266666666667 32.11188833333333 1046.5 7.3",0.00416666666666667
"1.77406 32.119166666666665 1044.6 7.3",0.00416666666666667
"1.7743374 31.9974538 1049.9 10.0",0.00416666666666667
"1.7743502 32.0028305 1052.9 10.0",0.00416666666666667
"1.7752383333333333 31.965288333333334 1080.3 7.2",0.00416666666666667
"1.7753133333333333 32.11376666666667 1052.2 7.1",0.00416666666666667
"1.7761778 32.1548191 1056.7 10.0",0.00416666666666667
"1.7764099999999998 32.01835166666667 1045.1 7.4",0.00416666666666667
"1.7764199999999999 32.01847 1041.1 7.4",0.00416666666666667
"1.7765300000000002 32.10784666666667 1038.6 7.1",0.00416666666666667
"1.7765783333333331 32.01799166666667 1057.8 7.6",0.00416666666666667
"1.7769259 31.9676406 1080.8 10.0",0.00416666666666667
"1.7774300000000003 31.959791666666668 1074.8 7.2",0.00416666666666667
"1.7779666666666665 32.15575166666667 1047.8 7.3",0.00416666666666667
"1.7780166666666668 31.969236666666667 1079.8 7.3",0.00416666666666667
"1.7782486 32.1550999 1041.8 10.0",0.00416666666666667
"1.78125 31.969576666666665 1073.7 7.3",0.00416666666666667
"1.7818116666666668 32.11654166666666 1049.6 7.3",0.00416666666666667
"1.7819266666666669 31.965725 1074.3 7.4",0.00416666666666667
"1.7857111 32.1691113 1032.2 10.0",0.00416666666666667
"1.7871883333333334 32.170970000000004 1050.4 7.5",0.00416666666666667
"1.7879883333333333 32.174681666666665 1043.3 7.3",0.00416666666666667
"1.788391666666667 32.172195 1071.5 7.4",0.00416666666666667
"1.7907316 32.1778121 1053.6 10.0",0.00416666666666667
"1.79183 32.1680383 1036.4 10.0",0.00416666666666667
"1.7955633333333334 32.153913333333335 1056.7 7.3",0.00416666666666667
"1.7963466666666665 32.156553333333335 1054.4 7.3",0.00416666666666667
"1.79893 32.09885166666666 1057.2 7.5",0.00416666666666667
"1.8007701 32.0975315 1047.0 10.0",0.00416666666666667
"1.8015433333333335 32.098510000000005 1060.1 7.4",0.00416666666666667
"1.8026667 32.0994433 1039.7 10.0",0.00416666666666667
"1.8028858 32.0942285 1056.7 10.0",0.00416666666666667
"1.8028881 32.0970756 1048.5 10.0",0.00416666666666667
"1.8032683333333335 32.09892166666667 1070.0 7.4",0.00416666666666667
"1.8033266666666667 32.100856666666665 1066.9 7.3",0.00416666666666667
"1.8037327 32.0925834 1049.4 10.0",0.00416666666666667
"1.8056914 32.0976911 1061.0 10.0",0.00416666666666667
