"","kiryandongo"
"after_defecating after_eating after_cleaning_baby",0.00416666666666667
"after_defecating before_eating",0.0166666666666667
"after_defecating before_eating after_eating",0.195833333333333
"after_defecating before_eating after_eating before_feeding_baby",0.00416666666666667
"after_defecating before_eating after_eating other",0.0166666666666667
"after_defecating before_eating other",0.0125
"after_eating",0.00416666666666667
"before_cooking after_defecating",0.00416666666666667
"before_cooking after_defecating after_eating",0.00416666666666667
"before_cooking after_defecating before_eating",0.0166666666666667
"before_cooking after_defecating before_eating after_eating",0.0125
"before_cooking after_defecating before_eating after_eating before_feeding_baby after_cleaning_baby",0.00416666666666667
"before_cooking after_defecating before_eating after_eating other",0.00416666666666667
"before_cooking after_defecating before_eating before_feeding_baby other",0.00416666666666667
"before_cooking after_eating",0.00416666666666667
"before_cooking before_eating after_eating",0.00833333333333333
"before_eating",0.00416666666666667
"before_eating after_eating",0.0208333333333333
"dirty_hands",0.0166666666666667
"dirty_hands after_defecating",0.0208333333333333
"dirty_hands after_defecating after_eating",0.00416666666666667
"dirty_hands after_defecating after_eating other",0.00416666666666667
"dirty_hands after_defecating before_eating",0.075
"dirty_hands after_defecating before_eating after_eating",0.1625
"dirty_hands after_defecating before_eating after_eating after_cleaning_baby",0.00833333333333333
"dirty_hands after_defecating before_eating before_feeding_baby",0.00416666666666667
"dirty_hands after_defecating before_eating other",0.00416666666666667
"dirty_hands after_defecating other",0.0125
"dirty_hands after_eating",0.0125
"dirty_hands before_cooking after_defecating",0.00833333333333333
"dirty_hands before_cooking after_defecating before_eating",0.0166666666666667
"dirty_hands before_cooking after_defecating before_eating after_cleaning_baby",0.00416666666666667
"dirty_hands before_cooking after_defecating before_eating after_eating",0.0958333333333333
"dirty_hands before_cooking after_defecating before_eating after_eating after_cleaning_baby",0.0208333333333333
"dirty_hands before_cooking after_defecating before_eating after_eating before_feeding_baby",0.0125
"dirty_hands before_cooking after_defecating before_eating after_eating before_feeding_baby after_cleaning_baby",0.0125
"dirty_hands before_cooking after_defecating before_eating before_feeding_baby",0.00416666666666667
"dirty_hands before_cooking after_defecating before_eating before_feeding_baby after_cleaning_baby",0.00416666666666667
"dirty_hands before_cooking after_defecating before_eating other",0.00416666666666667
"dirty_hands before_cooking after_defecating before_feeding_baby",0.00416666666666667
"dirty_hands before_cooking before_eating",0.00416666666666667
"dirty_hands before_cooking before_eating after_eating",0.00416666666666667
"dirty_hands before_eating",0.0125
"dirty_hands before_eating after_eating",0.1
"dirty_hands before_eating after_eating before_feeding_baby",0.00416666666666667
"dirty_hands before_eating before_feeding_baby",0.00833333333333333
"dirty_hands before_eating other",0.00416666666666667
"dirty_hands before_praying",0.00416666666666667
"other",0.00416666666666667
