"","kiryandongo"
"",0.916666666666667
" General body health",0.00416666666666667
"1",0.00416666666666667
"Attack  by evil  spirit and sinus ",0.00416666666666667
"Attack by evil spirit",0.00416666666666667
"Cough, flu",0.00416666666666667
"Coughs ",0.00416666666666667
"Diabetes",0.00416666666666667
"Digestive infections",0.00416666666666667
"Duodenal  ulcers ",0.00416666666666667
"Epilepsy",0.00416666666666667
"Evil spirits  always  attack  some  children ",0.00416666666666667
"Eye problems",0.00416666666666667
"Heart burn",0.00416666666666667
"Heart disease ",0.00416666666666667
"one member suffering from either stroke or paralysis ",0.00416666666666667
"Pararised heads",0.00416666666666667
"Stomachache ",0.00416666666666667
"There's a kid whose rectum protudes outward during defecation ",0.00416666666666667
"Typhoid",0.00416666666666667
"Typhoid, yellow fever, heartburn. ",0.00416666666666667
