"","kiryandongo"
"",0.470833333333333
"abduction early_marriage",0.00416666666666667
"attack_host",0.0291666666666667
"attack_host cattle_raid",0.00416666666666667
"attack_host cattle_raid early_marriage",0.00416666666666667
"attack_host cattle_raid other",0.00833333333333333
"attack_host early_marriage",0.00416666666666667
"attack_host harassment_host",0.00833333333333333
"attack_host harassment_host early_marriage",0.00416666666666667
"attack_host harassment_host sexual_violence",0.00833333333333333
"attack_host other",0.025
"attack_host sexual_violence abduction",0.00416666666666667
"attack_host sexual_violence early_marriage",0.00833333333333333
"attack_host sexual_violence other",0.00833333333333333
"cattle_raid",0.0708333333333333
"cattle_raid early_marriage",0.00833333333333333
"cattle_raid other",0.0166666666666667
"early_marriage",0.0166666666666667
"early_marriage other",0.00833333333333333
"harassment_host",0.0208333333333333
"harassment_host abduction forced_recruitment",0.00416666666666667
"harassment_host early_marriage other",0.00416666666666667
"harassment_host sexual_violence",0.00416666666666667
"harassment_host sexual_violence early_marriage",0.00416666666666667
"harassment_host sexual_violence other",0.00416666666666667
"no_answer",0.0125
"none",0.0166666666666667
"other",0.170833333333333
"sexual_violence",0.00833333333333333
"sexual_violence early_marriage",0.00833333333333333
"sexual_violence early_marriage other",0.0166666666666667
"sexual_violence other",0.0125
