"","kiryandongo"
"",0.179166666666667
"Alero-A",0.00833333333333333
"Alero a",0.00416666666666667
"Alero A",0.025
"Alro A",0.0125
"Chopeluo",0.00833333333333333
"Chopelwo",0.0166666666666667
"Chopelwor",0.0166666666666667
"Chopewor ",0.00833333333333333
"Dyang",0.025
"Dyangi",0.0125
"Dyangi ",0.00416666666666667
"Jeeja 2",0.00416666666666667
"Jeeja II",0.0125
"Jeja",0.0125
"Jeja-2",0.0125
"Jejja 2",0.00416666666666667
"Kaduku",0.0125
"Kaduku ",0.00833333333333333
"Kaduku 1",0.0291666666666667
"Kakoge",0.0125
"kakooge",0.00416666666666667
"Kakooge",0.025
"Kakooge village",0.00833333333333333
"Kapundo",0.0458333333333333
"Kapundu",0.00416666666666667
"Karagalia",0.00833333333333333
"Karagalia ",0.00416666666666667
"Karagalya",0.0125
"Karaglya",0.00416666666666667
"Karaglya ",0.00833333333333333
"Kariagalya",0.00416666666666667
"Katamarwa",0.025
"Kikong village",0.00416666666666667
"Kikonge",0.0208333333333333
"Kiluli",0.00833333333333333
"Kirongoro",0.00416666666666667
"Kiruli",0.00416666666666667
"Kiruli ",0.00833333333333333
"Kiruuli",0.00416666666666667
"Kisoro soro",0.00416666666666667
"Kisororo",0.00416666666666667
"Kisorosoro",0.0291666666666667
"Kisweka",0.0458333333333333
"Kwenda 2",0.0125
"Kwenda2",0.0125
"Kyakibanga",0.00416666666666667
"Nanda",0.00833333333333333
"Nanda a",0.00416666666666667
"Nanda A",0.0125
"Nginga 2",0.00416666666666667
"Nyakibete 2",0.0125
"Nyakibete II",0.00833333333333333
"Nyama 2",0.00416666666666667
"Nyamuntende",0.0333333333333333
"Nyamuntende ",0.0166666666666667
"Nyinga",0.00416666666666667
"Nyinga 2",0.00833333333333333
"Nyinga 2 village",0.00416666666666667
"Nyinga II",0.0125
"Nyinga2 village",0.00416666666666667
"Popara",0.00416666666666667
"Popara east",0.00416666666666667
"Popara east ",0.00416666666666667
"Popara west",0.00416666666666667
"Popara west ",0.0125
"Popara West ",0.00416666666666667
"Popara West. ",0.00416666666666667
"Pupara East",0.00833333333333333
"Pupara East ",0.00416666666666667
"Rwamudopio",0.0125
"Rwamudopiyo",0.0125
"Rwamudopyo village",0.00833333333333333
"Rwsmudopyo village",0.00416666666666667
"Ryamutobyo",0.00416666666666667
"Ryomudobyo",0.00833333333333333
"Sabasaba",0.00416666666666667
"Sasaba",0.00416666666666667
"Tugo",0.00416666666666667
