"","kiryandongo"
"1",0.025
"2",0.025
"5",0.025
"6",0.025
"7",0.025
"8",0.025
"11",0.025
"12",0.025
"13",0.025
"14",0.025
"15",0.025
"16",0.025
"17",0.025
"18",0.025
"19",0.025
"20",0.025
"25",0.025
"29",0.025
"30",0.025
"31",0.025
"32",0.025
"33",0.025
"34",0.025
"37",0.025
"38",0.025
"101",0.025
"102",0.025
"103",0.025
"104",0.0166666666666667
"105",0.0208333333333333
"106",0.0291666666666667
"107",0.025
"108",0.025
"109",0.025
"110",0.025
"111",0.0166666666666667
"112",0.0166666666666667
"113",0.025
"114",0.025
"125",0.025
"126",0.0125
"1026",0.0125
