"","kiryandongo"
"",0.929166666666667
"Can't be taken to school because they are disabled (can't speak)",0.00416666666666667
"Cost of living is high
Since I have a child with epilepsy",0.00416666666666667
"Disability ",0.00416666666666667
"Evictions from area of residence so not certain of next relocation",0.00416666666666667
"Has no knowledge in class ",0.00416666666666667
"He refused to study ",0.00416666666666667
"Just a worker",0.00416666666666667
"Land evictions from areas of residence so not bothering to take children to school ",0.00416666666666667
"Land evictions from areas of residence so not certain of next relocation ",0.00416666666666667
"Married there",0.00416666666666667
"Married there ",0.00416666666666667
"one of the children deliberately refused to school because of age",0.00416666666666667
"She just left ",0.00416666666666667
"She left alone",0.00416666666666667
"Sickness ",0.00416666666666667
"They are still young",0.00416666666666667
"Usable to pay school fees. ",0.00416666666666667
