"","kiryandongo"
"2",0.0125
"6",0.00416666666666667
"10",0.00416666666666667
"15",0.00416666666666667
"40",0.0291666666666667
"48",0.00416666666666667
"50",0.0291666666666667
"55",0.00416666666666667
"60",0.0666666666666667
"65",0.00416666666666667
"66",0.00416666666666667
"80",0.1125
"85",0.00833333333333333
"90",0.0166666666666667
"100",0.0708333333333333
"105",0.00833333333333333
"110",0.0333333333333333
"120",0.129166666666667
"125",0.00416666666666667
"130",0.00833333333333333
"140",0.0583333333333333
"146",0.00416666666666667
"150",0.0166666666666667
"160",0.075
"165",0.00416666666666667
"170",0.0125
"175",0.00833333333333333
"178",0.00416666666666667
"180",0.0458333333333333
"183",0.00416666666666667
"192",0.00416666666666667
"195",0.00833333333333333
"200",0.0458333333333333
"210",0.00416666666666667
"220",0.0166666666666667
"240",0.0625
"255",0.00416666666666667
"260",0.00833333333333333
"280",0.00416666666666667
"290",0.00416666666666667
"300",0.00833333333333333
"320",0.0125
"350",0.00416666666666667
"360",0.00416666666666667
"400",0.00416666666666667
"410",0.00416666666666667
"480",0.00416666666666667
"800",0.00416666666666667
