"","refugee"
"carpet_rug",0.00520833333333333
"kerosene stove_heater",0.00520833333333333
"N/A",0.4375
"none",0.0833333333333333
"stove_heater shelter_maintenance",0.00520833333333333
"winter_clothing kerosene",0.015625
"winter_clothing kerosene carpet_rug",0.00520833333333333
"winter_clothing kerosene carpet_rug shelter_maintenance",0.00520833333333333
"winter_clothing kerosene stove_heater",0.0104166666666667
"winter_clothing kerosene stove_heater carpet_rug",0.416666666666667
"winter_clothing stove_heater carpet_rug",0.0104166666666667
