"","divorced","married","no_answer","single","widowed"
"",0.333333333333333,0.245,0,0.5,0.12
"00d75785-b2d2-4cbd-9c44-3cf2914e51bd",0,0.005,0,0,0
"01d07e12-d27c-4c81-bc43-866b0c7cf6bc",0,0,0,0.5,0
"024f43df-c6f3-47ef-b84e-2c49058bc0cb",0,0.005,0,0,0
"026549b2-2021-4050-a62d-4b1531019536",0.0833333333333333,0,0,0,0
"0384da70-19fc-4b54-808e-8102dd94c2fa",0.0833333333333333,0,0,0,0
"03de20f0-7c78-4433-bd4b-b650e2ccbe5b",0,0,0,0,0.04
"05f29763-893c-4840-bfeb-4dc277db9e28",0,0.005,0,0,0
"09281e63-5048-4b0f-ba0a-7b952677cf6f",0,0.005,0,0,0
"0a6a3ed4-ef93-4189-800d-cad21d676b70",0,0.005,0,0,0
"0ac29a86-c583-40b2-965e-679792590c62",0,0,0,0,0.04
"0b180480-7618-45a7-b23e-cf3bf96a39a5",0,0.005,0,0,0
"0b56ecb1-ff32-4c46-8a1b-da5a068fc482",0,0.005,0,0,0
"0c019d85-93d1-4136-8838-50d5d9ba962d",0,0.005,0,0,0
"0deb105e-dacd-46dd-8f06-8f257e6c19de",0,0.005,0,0,0
"0e558ed4-b5f7-4c10-ba59-206787272cd6",0,0.005,0,0,0
"0ef84dc3-7393-48f5-8796-be52fb064476",0.0833333333333333,0,0,0,0
"0f2768db-6862-4f6f-a038-7911aa99b369",0,0.005,0,0,0
"0f83a452-a726-4b14-aea5-bbfeedaf3644",0,0.005,0,0,0
"10f0c1fc-f0bc-46a2-a461-1b078a2d447e",0,0.005,0,0,0
"115ba86c-e338-4b31-8c2c-b45a296ac103",0,0.005,0,0,0
"1195c8a6-1b57-47f2-b388-12937f9253fa",0,0.005,0,0,0
"1240f448-a880-47c3-b94f-f15fd23809ab",0,0.005,0,0,0
"1450355e-e3ae-4075-b5fa-9179d232d6dd",0,0.005,0,0,0
"167aa3f4-a66d-44d5-8b57-ff2b70862667",0,0.005,0,0,0
"1ae9c676-ddb3-46b8-89f4-c29d30bb17c9",0,0.005,0,0,0
"1b93b241-9190-49cf-a237-8f8b9b501762",0,0.005,0,0,0
"1eeb912f-347d-40d1-aff7-1cc8d3305499",0,0,0,0,0.04
"1fe1f157-02fc-4891-8205-55d177fa3d43",0,0.005,0,0,0
"22f6fd5c-79da-40a3-b5a5-316d60067093",0,0.005,0,0,0
"232371fe-94fa-40df-b2d1-71b1bd0b14ae",0,0.005,0,0,0
"234b7623-0142-4ad7-a6e5-1d75ceb70f32",0,0.005,0,0,0
"23ba0172-6288-466b-aefd-22edd79ccf80",0,0.005,0,0,0
"26089b94-4cba-40a8-b4a4-32e755c1646c",0,0.005,0,0,0
"275a7018-8a74-4f94-9c26-fabfdceaf50f",0,0.005,0,0,0
"27e0b609-123a-4bb1-8721-72401c9a9544",0,0.005,0,0,0
