"","divorced","married","no_answer","single","widowed"
"31.9019747",0,0.005,0,0,0
"31.902805",0,0.005,0,0,0
"31.9059966666667",0,0.005,0,0,0
"31.9074033333333",0,0,0,0,0.04
"31.9078534",0,0,0,0,0.04
"31.9087633",0,0.005,0,0,0
"31.9259566666667",0,0.005,0,0,0
"31.9275033333333",0,0.005,0,0,0
"31.9275466666667",0,0.005,0,0,0
"31.9291967",0.0833333333333333,0,0,0,0
"31.9298229",0,0.005,0,0,0
"31.9300533333333",0,0.005,0,0,0
"31.9307066666667",0,0.005,0,0,0
"31.9310283",0,0.005,0,0,0
"31.9320677",0,0.005,0,0,0
"31.9344383333333",0,0,0,0,0.04
"31.9349067",0,0.005,0,0,0
"31.9364133333333",0,0.005,0,0,0
"31.938085",0,0.005,0,0,0
"31.9382717",0,0.005,0,0,0
"31.939705",0,0.005,0,0,0
"31.9416116666667",0,0.005,0,0,0
"31.94292",0,0.005,0,0,0
"31.9437",0,0.005,0,0,0
"31.9485576",0,0.005,0,0,0
"31.9581888",0,0.005,0,0,0
"31.9597916666667",0,0.005,0,0,0
"31.9627136",0,0,0,0,0.04
"31.9627433333333",0,0.005,0,0,0
"31.9632318",0,0.005,0,0,0
"31.9637466666667",0,0.005,0,0,0
"31.9637716666667",0,0.005,0,0,0
"31.9639066666667",0,0.005,0,0,0
"31.9642042",0,0.005,0,0,0
"31.965264",0,0.005,0,0,0
"31.9652883333333",0,0.005,0,0,0
"31.965725",0.0833333333333333,0,0,0,0
"31.9661418",0,0,0,0,0.04
"31.9676406",0,0.005,0,0,0
"31.9690877",0,0.005,0,0,0
"31.9692366666667",0,0.005,0,0,0
"31.9695766666667",0,0.005,0,0,0
"31.9974538",0,0.005,0,0,0
"31.9981566666667",0,0.005,0,0,0
"32.0010233333333",0,0.005,0,0,0
"32.0010333",0,0.005,0,0,0
"32.0026783333333",0,0.005,0,0,0
"32.0028305",0,0.005,0,0,0
"32.0068166666667",0.0833333333333333,0,0,0,0
"32.01074",0,0.005,0,0,0
"32.0179916666667",0,0,0,0,0.04
"32.018275",0,0.005,0,0,0
"32.0183516666667",0,0,0,0,0.04
"32.01847",0,0.005,0,0,0
"32.0453533333333",0,0.005,0,0,0
"32.0484666666667",0.0833333333333333,0,0,0,0
"32.05189",0,0,0,0,0.04
"32.0521966666667",0,0.005,0,0,0
"32.0527266666667",0,0.005,0,0,0
"32.0528583333333",0,0.005,0,0,0
"32.053625",0,0.005,0,0,0
"32.0536484",0,0.005,0,0,0
"32.0537066666667",0,0,0,0,0.04
"32.0539178",0,0.005,0,0,0
"32.0543457",0,0.005,0,0,0
"32.0544983333333",0,0.005,0,0,0
"32.0623076",0,0.005,0,0,0
"32.064552",0,0.005,0,0,0
"32.068802",0,0.005,0,0,0
"32.0705372",0,0.005,0,0,0
"32.0709035",0,0,0,0,0.04
"32.0712166",0,0.005,0,0,0
"32.0715774",0,0.005,0,0,0
"32.0717581",0,0.005,0,0,0
"32.0718876",0,0.005,0,0,0
"32.0720383333333",0,0.005,0,0,0
"32.0728916666667",0,0.005,0,0,0
"32.0745216666667",0,0.005,0,0,0
"32.0790806",0,0.005,0,0,0
"32.0804016666667",0,0,0,0,0.04
"32.0811216666667",0,0.005,0,0,0
"32.0817785",0,0.005,0,0,0
"32.0822166666667",0,0.005,0,0,0
