"","divorced","married","no_answer","single","widowed"
"869",0,0,0,0,0.04
"870",0,0.005,0,0,0
"871",0,0.005,0,0,0
"872",0,0.005,0,0,0
"873",0,0.005,0,0,0
"874",0,0.005,0,0,0
"875",0,0.005,0,0,0
"876",0,0,0,0,0.04
"877",0,0.005,0,0,0
"878",0,0.005,0,0,0
"879",0,0.005,0,0,0
"880",0,0.005,0,0,0
"881",0,0.005,0,0,0
"882",0,0.005,0,0,0
"883",0,0,0,0,0.04
"884",0.0833333333333333,0,0,0,0
"885",0,0.005,0,0,0
"886",0,0.005,0,0,0
"887",0,0.005,0,0,0
"888",0.0833333333333333,0,0,0,0
"889",0.0833333333333333,0,0,0,0
"890",0.0833333333333333,0,0,0,0
"891",0,0.005,0,0,0
"892",0,0.005,0,0,0
"1057",0,0.005,0,0,0
"1058",0,0.005,0,0,0
"1059",0,0.005,0,0,0
"1060",0,0,0,0,0.04
"1061",0,0.005,0,0,0
"1062",0,0.005,0,0,0
"1063",0,0,0,0,0.04
"1064",0,0.005,0,0,0
"1065",0.0833333333333333,0,0,0,0
"1066",0,0.005,0,0,0
"1067",0,0.005,0,0,0
"1068",0,0.005,0,0,0
"1069",0,0.005,0,0,0
"1070",0,0.005,0,0,0
"1071",0,0.005,0,0,0
"1072",0,0.005,0,0,0
"1073",0,0,1,0,0
"1074",0,0.005,0,0,0
"1075",0,0,0,0,0.04
"1076",0,0.005,0,0,0
"1077",0,0.005,0,0,0
"1078",0,0.005,0,0,0
"1079",0,0.005,0,0,0
"1080",0,0.005,0,0,0
"1081",0,0.005,0,0,0
"1082",0,0.005,0,0,0
"1083",0,0.005,0,0,0
"1084",0,0.005,0,0,0
"1085",0,0.005,0,0,0
"1086",0,0.005,0,0,0
"1153",0,0.005,0,0,0
"1154",0,0.005,0,0,0
"1155",0,0.005,0,0,0
"1156",0,0.005,0,0,0
"1157",0,0.005,0,0,0
"1158",0,0.005,0,0,0
"1159",0,0.005,0,0,0
"1160",0,0.005,0,0,0
"1161",0,0.005,0,0,0
"1162",0,0.005,0,0,0
"1163",0,0.005,0,0,0
"1164",0,0.005,0,0,0
"1165",0,0.005,0,0,0
"1166",0,0.005,0,0,0
"1167",0,0,0,0,0.04
"1168",0,0.005,0,0,0
"1169",0,0.005,0,0,0
"1170",0,0.005,0,0,0
"1171",0,0,0,0.5,0
"1172",0,0.005,0,0,0
"1173",0,0.005,0,0,0
"1174",0,0,0,0,0.04
"1175",0,0,0,0,0.04
"1176",0,0.005,0,0,0
"1177",0.0833333333333333,0,0,0,0
"1178",0,0.005,0,0,0
"1179",0,0.005,0,0,0
"1180",0,0.005,0,0,0
"1181",0,0.005,0,0,0
"1182",0,0.005,0,0,0
"1315",0,0.005,0,0,0
"1316",0,0.005,0,0,0
"1317",0,0.005,0,0,0
"1318",0,0.005,0,0,0
"1319",0,0.005,0,0,0
"1320",0,0.005,0,0,0
"1321",0,0.005,0,0,0
"1322",0,0,0,0,0.04
"1323",0,0.005,0,0,0
"1324",0,0.005,0,0,0
"1325",0,0.005,0,0,0
"1326",0,0.005,0,0,0
"1327",0,0.005,0,0,0
"1328",0.0833333333333333,0,0,0,0
"1329",0,0.005,0,0,0
"1330",0,0,0,0,0.04
"1331",0,0.005,0,0,0
"1332",0,0.005,0,0,0
"1333",0,0.005,0,0,0
"1334",0,0.005,0,0,0
"1335",0.0833333333333333,0,0,0,0
"1336",0,0.005,0,0,0
"1337",0,0.005,0,0,0
"1338",0,0.005,0,0,0
"1339",0,0.005,0,0,0
"1340",0,0.005,0,0,0
"1341",0,0,0,0,0.04
"1342",0,0.005,0,0,0
"1343",0,0.005,0,0,0
"1344",0,0,0,0,0.04
"1435",0,0.005,0,0,0
"1436",0,0.005,0,0,0
"1437",0,0.005,0,0,0
"1438",0,0.005,0,0,0
"1439",0,0.005,0,0,0
"1440",0,0.005,0,0,0
"1441",0,0.005,0,0,0
"1442",0,0.005,0,0,0
"1443",0,0.005,0,0,0
"1444",0,0.005,0,0,0
"1445",0,0.005,0,0,0
"1446",0,0.005,0,0,0
"1447",0,0.005,0,0,0
"1448",0,0.005,0,0,0
"1449",0.0833333333333333,0,0,0,0
"1450",0,0.005,0,0,0
"1451",0,0.005,0,0,0
"1452",0,0.005,0,0,0
"1453",0,0.005,0,0,0
"1454",0,0.005,0,0,0
"1455",0,0.005,0,0,0
"1456",0,0.005,0,0,0
"1457",0,0.005,0,0,0
"1458",0,0.005,0,0,0
"1459",0,0.005,0,0,0
"1460",0.0833333333333333,0,0,0,0
"1461",0,0.005,0,0,0
"1462",0,0.005,0,0,0
"1463",0,0.005,0,0,0
"1676",0,0,0,0,0.04
"1677",0,0.005,0,0,0
"1678",0,0.005,0,0,0
"1679",0,0.005,0,0,0
"1680",0,0.005,0,0,0
"1681",0,0.005,0,0,0
"1682",0,0.005,0,0,0
"1683",0,0.005,0,0,0
"1684",0,0.005,0,0,0
"1685",0,0,0,0,0.04
"1686",0,0.005,0,0,0
"1687",0,0.005,0,0,0
"1688",0,0,0,0,0.04
"1689",0,0,0,0,0.04
"1690",0,0.005,0,0,0
"1691",0,0.005,0,0,0
"1692",0,0.005,0,0,0
"1693",0,0.005,0,0,0
"1694",0,0.005,0,0,0
"1695",0,0.005,0,0,0
"1696",0,0.005,0,0,0
"1697",0,0.005,0,0,0
"1698",0,0.005,0,0,0
"1699",0,0.005,0,0,0
"1700",0,0.005,0,0,0
"1701",0,0.005,0,0,0
"1702",0,0.005,0,0,0
"1703",0,0.005,0,0,0
"1704",0,0.005,0,0,0
"1705",0,0.005,0,0,0
"1706",0,0.005,0,0,0
"1821",0,0.005,0,0,0
"1822",0,0.005,0,0,0
"1823",0,0.005,0,0,0
"1824",0,0.005,0,0,0
"1825",0,0.005,0,0,0
"1826",0,0.005,0,0,0
"1827",0,0.005,0,0,0
"1828",0,0.005,0,0,0
"1829",0,0.005,0,0,0
"1830",0,0.005,0,0,0
"1831",0,0.005,0,0,0
"1832",0,0.005,0,0,0
"1833",0,0.005,0,0,0
"1834",0,0.005,0,0,0
"1835",0,0.005,0,0,0
"1836",0,0,0,0.5,0
"1837",0,0.005,0,0,0
"1838",0,0.005,0,0,0
"1839",0,0,0,0,0.04
"1840",0,0.005,0,0,0
"1841",0,0.005,0,0,0
"1842",0,0,0,0,0.04
"1843",0,0.005,0,0,0
"1844",0,0.005,0,0,0
"1845",0,0.005,0,0,0
"1846",0,0,0,0,0.04
"1847",0,0.005,0,0,0
"1848",0,0.005,0,0,0
"1849",0,0.005,0,0,0
"1850",0,0.005,0,0,0
"1851",0,0.005,0,0,0
"1852",0,0.005,0,0,0
"1853",0,0.005,0,0,0
"1854",0,0.005,0,0,0
"1855",0,0.005,0,0,0
"1856",0,0.005,0,0,0
"1964",0,0.005,0,0,0
"1965",0,0.005,0,0,0
"1966",0,0,0,0,0.04
"1967",0,0.005,0,0,0
"1968",0,0.005,0,0,0
"1969",0,0.005,0,0,0
"1970",0,0.005,0,0,0
"1971",0,0.005,0,0,0
"1972",0.0833333333333333,0,0,0,0
"1973",0,0,0,0,0.04
"1974",0,0.005,0,0,0
"1975",0,0.005,0,0,0
"1976",0,0.005,0,0,0
"1977",0.0833333333333333,0,0,0,0
"1978",0,0.005,0,0,0
"1979",0,0.005,0,0,0
"1983",0,0.005,0,0,0
"1984",0,0.005,0,0,0
"1985",0,0,0,0,0.04
"1986",0,0,0,0,0.04
"1987",0,0,0,0,0.04
"1988",0,0.005,0,0,0
"1989",0,0.005,0,0,0
"1990",0,0.005,0,0,0
"1991",0,0.005,0,0,0
"1992",0,0.005,0,0,0
