"","divorced","married","no_answer","single","widowed"
"0",0,0.00510204081632653,0,0,0
"1",0,0.0153061224489796,0,0,0.04
"2",0.181818181818182,0.127551020408163,0,0,0.08
"3",0.0909090909090909,0.214285714285714,1,0,0.24
"4",0.272727272727273,0.239795918367347,0,1,0.16
"5",0,0.107142857142857,0,0,0.16
"6",0.272727272727273,0.112244897959184,0,0,0.12
"7",0,0.0510204081632653,0,0,0.08
"8",0.0909090909090909,0.0561224489795918,0,0,0.08
"9",0,0.0153061224489796,0,0,0
"10",0.0909090909090909,0.0306122448979592,0,0,0
"11",0,0.00510204081632653,0,0,0.04
"12",0,0.0102040816326531,0,0,0
"17",0,0.00510204081632653,0,0,0
"20",0,0.00510204081632653,0,0,0
