"","divorced","married","no_answer","single","widowed"
"1",0.0833333333333333,0,0,0,0
"2",0,0.005,0,0,0
"3",0,0.075,0,0,0
"4",0.25,0.1,0,0,0.08
"5",0.0833333333333333,0.09,0,0,0.12
"6",0.25,0.095,0,0.5,0.24
"7",0.0833333333333333,0.115,1,0,0.08
"8",0,0.11,0,0,0.04
"9",0.0833333333333333,0.085,0,0,0
"10",0.0833333333333333,0.085,0,0.5,0.16
"11",0,0.045,0,0,0
"12",0,0.045,0,0,0
"13",0.0833333333333333,0.035,0,0,0.08
"14",0,0.02,0,0,0.04
"15",0,0.01,0,0,0.12
"16",0,0.015,0,0,0
"17",0,0.02,0,0,0
"18",0,0.015,0,0,0.04
"19",0,0.01,0,0,0
"21",0,0.01,0,0,0
"24",0,0.005,0,0,0
"26",0,0.005,0,0,0
"38",0,0.005,0,0,0
