"","divorced","married","no_answer","single","widowed"
"359144082736367",0.0833333333333333,0.06,0,0,0.2
"359144082742621",0,0.115,0,0.5,0
"359144082743827",0.0833333333333333,0.035,0,0,0.04
"359144085278888",0.0833333333333333,0.07,0,0,0.08
"359144087136605",0.0833333333333333,0.105,0,0,0.12
"359144087520626",0.25,0.08,0,0,0.16
"359144087526524",0.0833333333333333,0.115,0,0,0.04
"359144087538685",0,0.115,0,0,0.04
"359144087545128",0,0.01,0,0,0
"359144087603562",0.166666666666667,0.09,1,0.5,0.08
"359144087604602",0.166666666666667,0.1,0,0,0.12
"359144087615269",0,0.105,0,0,0.12
