"","divorced","married","no_answer","single","widowed"
"Alfred",0.0833333333333333,0.1,0,0,0.04
"Alfred ",0,0.015,0,0,0
"Brian",0,0.025,0,0,0.04
"Brian ",0,0.07,0,0,0.2
"Carol",0.0833333333333333,0,0,0,0
"Caroline",0.166666666666667,0.085,1,0.5,0.04
"Caroline ",0,0.005,0,0,0.04
"Irene",0.166666666666667,0.015,0,0,0
"Irene ",0.0833333333333333,0.065,0,0,0.16
"Jackie",0.0833333333333333,0.095,0,0,0.12
"Jackie ",0,0.01,0,0,0
"John",0,0.115,0,0.5,0
"Kica",0,0.07,0,0,0.04
"Kica ",0,0.045,0,0,0
"Lucy",0.0833333333333333,0.045,0,0,0.04
"Lucy ",0.0833333333333333,0.055,0,0,0.08
"Violet  Biingi",0,0.02,0,0,0.04
"Violet  Biingi ",0,0.005,0,0,0
"Violet Biingi",0,0.045,0,0,0.04
"Violet Biingi ",0,0.035,0,0,0.04
"Wanda",0,0.015,0,0,0.04
"Wanda ",0.166666666666667,0.055,0,0,0.04
"Wanda Godfrey owor",0,0.01,0,0,0
