"","divorced","married","no_answer","single","widowed"
"",0.25,0.07,1,0,0.08
"2016-08-01",0,0.005,0,0,0
"2016-11-01",0,0.005,0,0,0
"2017-01-01",0,0.02,0,0,0
"2017-02-01",0,0.03,0,0,0
"2017-03-01",0.0833333333333333,0.025,0,0,0.04
"2017-04-01",0,0.045,0,0.5,0.04
"2017-05-01",0,0.04,0,0,0.04
"2017-06-01",0,0.03,0,0,0
"2017-07-01",0,0.03,0,0,0
"2017-08-01",0.0833333333333333,0.04,0,0,0.08
"2017-09-01",0,0.03,0,0,0.04
"2017-10-01",0,0.04,0,0,0
"2017-11-01",0,0.035,0,0,0
"2017-12-01",0.0833333333333333,0.055,0,0,0
"2018-01-01",0,0.06,0,0,0.12
"2018-02-01",0,0.065,0,0,0.04
"2018-03-01",0.333333333333333,0.09,0,0.5,0.12
"2018-04-01",0.166666666666667,0.14,0,0,0.24
"2018-05-01",0,0.145,0,0,0.12
"2018-12-01",0,0,0,0,0.04
