"","divorced","married","no_answer","single","widowed"
"",0.666666666666667,0.465,1,0.5,0.4
"abduction early_marriage",0,0.005,0,0,0
"attack_host",0,0.035,0,0,0
"attack_host cattle_raid",0,0,0,0,0.04
"attack_host cattle_raid early_marriage",0,0,0,0,0.04
"attack_host cattle_raid other",0,0.01,0,0,0
"attack_host early_marriage",0,0.005,0,0,0
"attack_host harassment_host",0,0.01,0,0,0
"attack_host harassment_host early_marriage",0,0.005,0,0,0
"attack_host harassment_host sexual_violence",0,0.01,0,0,0
"attack_host other",0,0.025,0,0,0.04
"attack_host sexual_violence abduction",0,0.005,0,0,0
"attack_host sexual_violence early_marriage",0,0.01,0,0,0
"attack_host sexual_violence other",0,0.01,0,0,0
"cattle_raid",0.25,0.065,0,0,0.04
"cattle_raid early_marriage",0,0.01,0,0,0
"cattle_raid other",0,0.01,0,0.5,0.04
"early_marriage",0,0.015,0,0,0.04
"early_marriage other",0,0.01,0,0,0
"harassment_host",0,0.025,0,0,0
"harassment_host abduction forced_recruitment",0,0.005,0,0,0
"harassment_host early_marriage other",0,0.005,0,0,0
"harassment_host sexual_violence",0,0,0,0,0.04
"harassment_host sexual_violence early_marriage",0,0.005,0,0,0
"harassment_host sexual_violence other",0.0833333333333333,0,0,0,0
"no_answer",0,0.015,0,0,0
"none",0,0.02,0,0,0
"other",0,0.18,0,0,0.2
"sexual_violence",0,0.01,0,0,0
"sexual_violence early_marriage",0,0.01,0,0,0
"sexual_violence early_marriage other",0,0.01,0,0,0.08
"sexual_violence other",0,0.01,0,0,0.04
