"","divorced","married","no_answer","single","widowed"
"",0,0.01,0,0,0
"debt",0,0.115,0,0,0.08
"debt reduce_spending",0,0.005,0,0,0
"debt sold_assistance",0,0.005,0,0,0
"humanitarian_aid",0,0,0,0,0.04
"none",0.25,0.06,0,0.5,0.12
"reduce_spending",0,0.015,0,0,0
"selling_assets",0.166666666666667,0.16,0,0,0.12
"selling_assets debt",0,0.005,0,0,0
"selling_assets other",0,0.005,0,0,0
"selling_assets reduce_spending",0,0.005,0,0.5,0
"spent_savings",0.25,0.305,0,0,0.28
"spent_savings charitable_donations debt sold_assistance",0,0,0,0,0.04
"spent_savings debt",0.0833333333333333,0.05,0,0,0.08
"spent_savings reduce_spending",0,0.005,0,0,0
"spent_savings selling_assets",0.0833333333333333,0.04,1,0,0
"spent_savings selling_assets debt",0,0.005,0,0,0
"spent_savings sold_assistance",0,0.005,0,0,0
"spent_savings support_from_friends_relatives",0.0833333333333333,0.03,0,0,0.04
"spent_savings support_from_friends_relatives debt",0,0.01,0,0,0.04
"spent_savings support_from_friends_relatives selling_assets",0,0.025,0,0,0.04
"support_from_friends_relatives",0.0833333333333333,0.105,0,0,0.08
"support_from_friends_relatives debt",0,0.01,0,0,0
"support_from_friends_relatives selling_assets",0,0.015,0,0,0.04
"support_from_friends_relatives selling_assets debt",0,0.01,0,0,0
