"","divorced","married","no_answer","single","widowed"
"bedding",0.0833333333333333,0.02,0,0,0.04
"bedding hygiene_items",0,0.01,0,0,0
"bedding hygiene_items kitchen_tools",0.0833333333333333,0.04,0,0,0
"bedding hygiene_items other",0.0833333333333333,0,0,0,0
"bedding hygiene_items sanitary_pads",0,0.02,0,0,0.08
"bedding hygiene_items water_storage",0,0.06,0,0,0.04
"bedding kitchen_tools",0,0.03,0,0,0
"bedding kitchen_tools sanitary_pads",0,0.04,0,0,0
"bedding mosquito_nets",0,0.01,0,0,0
"bedding mosquito_nets hygiene_items",0.0833333333333333,0.01,0,0,0
"bedding mosquito_nets kitchen_tools",0,0.015,0,0,0
"bedding mosquito_nets other",0,0.005,0,0,0.04
"bedding mosquito_nets sanitary_pads",0,0.04,0,0,0
"bedding mosquito_nets water_storage",0.166666666666667,0.05,0,0,0.12
"bedding other",0,0.02,0,0,0
"bedding sanitary_pads",0.0833333333333333,0.015,0,0,0
"bedding sanitary_pads other",0,0.01,0,0,0
"bedding water_storage",0,0.045,0,0,0.08
"bedding water_storage kitchen_tools",0.0833333333333333,0.155,0,0,0.4
"bedding water_storage other",0,0.01,0,0,0
"bedding water_storage sanitary_pads",0,0.045,0,0,0.04
"hygiene_items",0,0.005,0,0,0
"hygiene_items kitchen_tools",0.0833333333333333,0.005,0,0,0
"hygiene_items kitchen_tools sanitary_pads",0,0.025,0,0,0
"hygiene_items sanitary_pads",0,0.005,0,0,0
"hygiene_items water_storage",0,0.005,0,0,0
"hygiene_items water_storage kitchen_tools",0,0.015,0,0,0
"hygiene_items water_storage sanitary_pads",0,0.01,0,0,0
"kitchen_tools",0,0.015,0,0,0
"kitchen_tools sanitary_pads",0,0,0,0,0.04
"mosquito_nets",0,0.005,0,0,0
"mosquito_nets hygiene_items kitchen_tools",0,0.005,0,0,0
"mosquito_nets hygiene_items water_storage",0,0.005,0,0,0
"mosquito_nets kitchen_tools other",0,0.005,0,0,0
"mosquito_nets kitchen_tools sanitary_pads",0,0.005,0,0,0
"mosquito_nets sanitary_pads",0,0.01,0,0,0
"mosquito_nets water_storage kitchen_tools",0,0.005,0,0,0
"no_answer",0.0833333333333333,0,0,0.5,0
"none",0,0.025,0,0,0
"other",0.0833333333333333,0.05,1,0,0
"sanitary_pads",0,0.015,0,0,0
"sanitary_pads other",0,0.005,0,0,0
"water_storage",0,0.025,0,0,0
"water_storage kitchen_tools",0,0.04,0,0,0.04
"water_storage kitchen_tools other",0,0.005,0,0,0
"water_storage kitchen_tools sanitary_pads",0.0833333333333333,0.025,0,0,0.04
"water_storage other",0,0.015,0,0,0
"water_storage sanitary_pads",0,0.02,0,0.5,0.04
