"","divorced","married","no_answer","single","widowed"
"",0.833333333333333,0.885,0,1,0.96
"Bicycle, permanent latrine",0,0.005,0,0,0
"Chairs",0,0.005,0,0,0
"Clothes ",0.0833333333333333,0.005,0,0,0
"Clothes, house items",0,0.005,0,0,0
"Cloths",0,0.005,0,0,0
"Fuel for cooking",0,0.005,0,0,0
"Goat, cows, money. ",0,0.005,0,0,0
"House hold items",0,0.005,0,0,0
"House,motorcycle",0.0833333333333333,0,0,0,0
"Household utensils",0,0,1,0,0
"Improved cooking stove",0,0.005,0,0,0
"Iron sheets and lighting system like solar or electricity ",0,0.005,0,0,0
"Land",0,0.005,0,0,0
"Lighting system especially solar or electricity and radios to be up-to-date ",0,0.005,0,0,0
"More torches",0,0.005,0,0,0
"Ox-plough, oxen, roads, lands ",0,0.005,0,0,0
"Pens, books for children. ",0,0.005,0,0,0
"Shelter",0,0.015,0,0,0
"Solar system for light",0,0,0,0,0.04
"Tables, chairs, beddings.",0,0.005,0,0,0
"Tapline for drying agricultural products",0,0.005,0,0,0
"Tapline for drying crops",0,0.005,0,0,0
"Tree seedlings, eucalyptus. ",0,0.005,0,0,0
"TV, bicycle. ",0,0.005,0,0,0
