"","divorced","married","no_answer","single","widowed"
"borehole",0,0.085,0,0,0.08
"none",0,0.215,1,0,0.48
"other",0.0833333333333333,0.04,0,0,0.04
"protected_rainwater_tank",0,0.005,0,0,0
"protected_spring",0,0.01,0,0,0
"protected_spring unprotected_well",0,0.005,0,0,0
"protected_well",0.0833333333333333,0.055,0,0,0
"protected_well water_truck",0,0.005,0,0,0
"surface_water",0.333333333333333,0.36,0,1,0.32
"surface_water other",0,0,0,0,0.04
"surface_water water_truck",0,0.005,0,0,0
"unprotected_rainwater_tank",0,0.01,0,0,0
"unprotected_spring",0,0.04,0,0,0
"unprotected_spring surface_water",0,0.005,0,0,0
"unprotected_well",0.5,0.125,0,0,0
"unprotected_well surface_water",0,0.005,0,0,0.04
"unprotected_well water_truck",0,0.02,0,0,0
"water_truck",0,0.01,0,0,0
