"","divorced","married","no_answer","single","widowed"
"",0.333333333333333,0.145,0,0.5,0.36
"Alero-A",0,0.01,0,0,0
"Alero a",0.0833333333333333,0,0,0,0
"Alero A",0,0.03,0,0,0
"Alro A",0,0.015,0,0,0
"Chopeluo",0,0.01,0,0,0
"Chopelwo",0.166666666666667,0.005,0,0,0.04
"Chopelwor",0.0833333333333333,0.015,0,0,0
"Chopewor ",0,0.01,0,0,0
"Dyang",0,0.03,0,0,0
"Dyangi",0,0.005,0,0,0.08
"Dyangi ",0,0.005,0,0,0
"Jeeja 2",0,0.005,0,0,0
"Jeeja II",0,0.015,0,0,0
"Jeja",0,0.01,0,0,0.04
"Jeja-2",0.0833333333333333,0.005,0,0,0.04
"Jejja 2",0,0.005,0,0,0
"Kaduku",0,0.015,0,0,0
"Kaduku ",0,0.01,0,0,0
"Kaduku 1",0.0833333333333333,0.03,0,0,0
"Kakoge",0,0.015,0,0,0
"kakooge",0,0.005,0,0,0
"Kakooge",0,0.03,0,0,0
"Kakooge village",0,0.01,0,0,0
"Kapundo",0,0.05,0,0.5,0
"Kapundu",0,0.005,0,0,0
"Karagalia",0,0.01,0,0,0
"Karagalia ",0,0.005,0,0,0
"Karagalya",0,0.01,0,0,0.04
"Karaglya",0,0.005,0,0,0
"Karaglya ",0,0.01,0,0,0
"Kariagalya",0,0.005,0,0,0
"Katamarwa",0,0.025,0,0,0.04
"Kikong village",0,0.005,0,0,0
"Kikonge",0,0.025,0,0,0
"Kiluli",0,0.01,0,0,0
"Kirongoro",0,0,1,0,0
"Kiruli",0,0.005,0,0,0
"Kiruli ",0,0.01,0,0,0
"Kiruuli",0,0.005,0,0,0
"Kisoro soro",0,0.005,0,0,0
"Kisororo",0,0.005,0,0,0
"Kisorosoro",0,0.03,0,0,0.04
"Kisweka",0,0.05,0,0,0.04
"Kwenda 2",0,0.01,0,0,0.04
"Kwenda2",0,0.01,0,0,0.04
"Kyakibanga",0,0,0,0,0.04
"Nanda",0,0.01,0,0,0
"Nanda a",0,0.005,0,0,0
"Nanda A",0,0.015,0,0,0
"Nginga 2",0,0,0,0,0.04
"Nyakibete 2",0,0.015,0,0,0
"Nyakibete II",0,0.005,0,0,0.04
"Nyama 2",0,0.005,0,0,0
"Nyamuntende",0,0.035,0,0,0.04
"Nyamuntende ",0,0.02,0,0,0
"Nyinga",0,0.005,0,0,0
"Nyinga 2",0,0.01,0,0,0
"Nyinga 2 village",0,0.005,0,0,0
"Nyinga II",0,0.015,0,0,0
"Nyinga2 village",0,0.005,0,0,0
"Popara",0,0.005,0,0,0
"Popara east",0,0.005,0,0,0
"Popara east ",0.0833333333333333,0,0,0,0
"Popara west",0,0.005,0,0,0
"Popara west ",0,0.015,0,0,0
"Popara West ",0,0.005,0,0,0
"Popara West. ",0,0.005,0,0,0
"Pupara East",0,0.01,0,0,0
"Pupara East ",0,0,0,0,0.04
"Rwamudopio",0.0833333333333333,0.01,0,0,0
"Rwamudopiyo",0,0.015,0,0,0
"Rwamudopyo village",0,0.01,0,0,0
"Rwsmudopyo village",0,0.005,0,0,0
"Ryamutobyo",0,0.005,0,0,0
"Ryomudobyo",0,0.01,0,0,0
"Sabasaba",0,0.005,0,0,0
"Sasaba",0,0.005,0,0,0
"Tugo",0,0.005,0,0,0
