"","divorced","married","no_answer","single","widowed"
"1",0.0833333333333333,0.025,0,0,0
"2",0.166666666666667,0.015,0,0,0.04
"5",0.0833333333333333,0.015,0,0,0.08
"6",0,0.03,0,0,0
"7",0,0.03,0,0,0
"8",0,0.03,0,0,0
"11",0,0.03,0,0,0
"12",0,0.025,0,0,0.04
"13",0,0.03,0,0,0
"14",0.0833333333333333,0.015,0,0,0.08
"15",0.0833333333333333,0.025,0,0,0
"16",0,0.03,0,0,0
"17",0.0833333333333333,0.025,0,0,0
"18",0,0.03,0,0,0
"19",0,0.03,0,0,0
"20",0.0833333333333333,0.025,0,0,0
"25",0,0.02,0,0,0.08
"29",0,0.015,0,0.5,0.08
"30",0,0.02,1,0,0.04
"31",0,0.025,0,0,0.04
"32",0.0833333333333333,0.02,0,0,0.04
"33",0,0.03,0,0,0
"34",0,0.03,0,0,0
"37",0,0.03,0,0,0
"38",0.0833333333333333,0.02,0,0,0.04
"101",0,0.03,0,0,0
"102",0,0.025,0,0,0.04
"103",0,0.03,0,0,0
"104",0,0.01,0,0,0.08
"105",0,0.025,0,0,0
"106",0,0.03,0,0.5,0
"107",0,0.02,0,0,0.08
"108",0,0.03,0,0,0
"109",0,0.025,0,0,0.04
"110",0,0.03,0,0,0
"111",0.0833333333333333,0.015,0,0,0
"112",0.0833333333333333,0.015,0,0,0
"113",0,0.025,0,0,0.04
"114",0,0.025,0,0,0.04
"125",0,0.025,0,0,0.04
"126",0,0.015,0,0,0
"1026",0,0.005,0,0,0.08
