"","divorced","married","no_answer","single","widowed"
"16",0,0.005,0,0,0
"19",0,0.01,0,0,0
"20",0,0.03,0,0,0
"21",0,0.015,0,0,0
"22",0,0.03,0,0,0
"23",0.0833333333333333,0.025,0,0,0
"24",0,0.03,0,0,0.04
"25",0,0.05,0,0,0
"26",0,0.015,0,0,0
"27",0,0.025,0,0,0
"28",0,0.04,0,1,0
"29",0,0.005,0,0,0
"30",0,0.045,0,0,0
"31",0,0.015,0,0,0
"32",0.0833333333333333,0.035,0,0,0.04
"33",0,0.015,0,0,0.04
"34",0,0.025,0,0,0
"35",0,0.03,0,0,0
"36",0,0.045,0,0,0
"37",0,0.025,0,0,0
"38",0.0833333333333333,0.035,0,0,0.04
"39",0,0.025,0,0,0
"40",0,0.035,0,0,0
"41",0.0833333333333333,0.01,0,0,0.04
"42",0,0.04,0,0,0
"43",0,0.005,0,0,0
"44",0,0.03,0,0,0
"45",0,0.035,0,0,0.04
"46",0,0.03,0,0,0.08
"47",0,0.005,0,0,0
"48",0,0.02,0,0,0.04
"49",0,0.02,0,0,0
"50",0.166666666666667,0.025,1,0,0
"51",0,0.01,0,0,0.04
"52",0.0833333333333333,0.01,0,0,0.08
"53",0,0.01,0,0,0.04
"54",0.0833333333333333,0.005,0,0,0.04
"55",0.0833333333333333,0.005,0,0,0.12
"56",0,0.015,0,0,0.04
"57",0,0,0,0,0.04
"58",0,0.01,0,0,0.04
"59",0.0833333333333333,0.01,0,0,0
"60",0,0.015,0,0,0.12
"61",0,0.005,0,0,0
"62",0,0.015,0,0,0
"63",0.166666666666667,0.005,0,0,0
"64",0,0.005,0,0,0
"65",0,0.015,0,0,0
"68",0,0.015,0,0,0
"70",0,0,0,0,0.04
"74",0,0.005,0,0,0
"77",0,0.005,0,0,0
"78",0,0.005,0,0,0.04
"94",0,0.005,0,0,0
