"","divorced","married","no_answer","single","widowed"
"",0.666666666666667,0.505,1,0.5,0.36
"disabled other",0,0,0,0,0.04
"early_marriage",0,0.015,0,0,0
"early_marriage disabled school_too_far",0,0,0,0,0.04
"early_marriage school_too_far",0,0.005,0,0,0
"extensive_absences",0,0.005,0,0,0
"high_cost",0.166666666666667,0.095,0,0,0.12
"high_cost disabled early_marriage",0,0.005,0,0,0
"high_cost early_marriage",0,0.005,0,0,0
"high_cost lack_space school_too_far",0,0.005,0,0,0
"high_cost other",0,0.005,0,0,0
"high_cost poor_condition",0,0.005,0,0,0
"high_cost relocation school_too_far",0,0.005,0,0,0
"high_cost school_too_far",0,0.05,0,0.5,0.12
"high_cost school_too_far no_transport",0,0.005,0,0,0
"high_cost school_too_far other",0,0.005,0,0,0
"high_cost school_too_far too_young",0,0.005,0,0,0
"high_cost too_young",0,0.015,0,0,0.08
"household_chores",0.0833333333333333,0.005,0,0,0
"household_chores school_too_far other",0,0.005,0,0,0
"household_chores working",0,0.005,0,0,0
"insecurity",0,0.005,0,0,0
"lack_space",0,0.005,0,0,0
"new_arrival",0,0.01,0,0,0
"none",0,0.015,0,0,0.04
"other",0.0833333333333333,0.04,0,0,0.04
"poor_condition",0,0.005,0,0,0
"relocation",0,0.005,0,0,0
"relocation too_young",0,0.005,0,0,0
"school_too_far",0,0.055,0,0,0
"school_too_far other",0,0.005,0,0,0.04
"school_too_far too_young",0,0.005,0,0,0
"too_young",0,0.085,0,0,0.12
"too_young other",0,0.005,0,0,0
"working",0,0.005,0,0,0
