"","divorced","married","no_answer","single","widowed"
"",0.916666666666667,0.935,1,1,0.88
"Can't be taken to school because they are disabled (can't speak)",0,0.005,0,0,0
"Cost of living is high
Since I have a child with epilepsy",0,0.005,0,0,0
"Disability ",0,0.005,0,0,0
"Evictions from area of residence so not certain of next relocation",0,0.005,0,0,0
"Has no knowledge in class ",0,0.005,0,0,0
"He refused to study ",0,0,0,0,0.04
"Just a worker",0,0.005,0,0,0
"Land evictions from areas of residence so not bothering to take children to school ",0,0,0,0,0.04
"Land evictions from areas of residence so not certain of next relocation ",0,0.005,0,0,0
"Married there",0.0833333333333333,0,0,0,0
"Married there ",0,0.005,0,0,0
"one of the children deliberately refused to school because of age",0,0,0,0,0.04
"She just left ",0,0.005,0,0,0
"She left alone",0,0.005,0,0,0
"Sickness ",0,0.005,0,0,0
"They are still young",0,0.005,0,0,0
"Usable to pay school fees. ",0,0.005,0,0,0
