"","divorced","married","no_answer","single","widowed"
"",0.833333333333333,0.795,1,0.5,0.68
"books bag uniform transportation",0,0.005,0,0,0
"books tuition",0,0.01,0,0,0.04
"books tuition transportation",0,0.005,0,0,0.04
"books tuition uniform",0.0833333333333333,0.025,0,0,0
"books tuition uniform food",0,0.005,0,0,0
"books tuition uniform transportation",0,0,0,0.5,0.04
"books tuition uniform transportation food",0,0.01,0,0,0
"books uniform transportation",0,0.005,0,0,0
"books writing_materials bag tuition uniform",0,0.005,0,0,0
"books writing_materials bag tuition uniform food",0,0.005,0,0,0
"books writing_materials tuition",0,0.005,0,0,0
"books writing_materials tuition uniform",0,0.045,0,0,0.12
"books writing_materials tuition uniform food",0,0.02,0,0,0
"books writing_materials tuition uniform food other",0,0,0,0,0.04
"books writing_materials tuition uniform transportation",0,0.005,0,0,0
"books writing_materials uniform food",0,0.005,0,0,0
"tuition",0.0833333333333333,0.025,0,0,0
"tuition transportation",0,0.005,0,0,0
"tuition uniform",0,0.005,0,0,0
"writing_materials tuition uniform",0,0.01,0,0,0.04
"writing_materials tuition uniform transportation",0,0.005,0,0,0
