"","divorced","married","no_answer","single","widowed"
"community_group",0.25,0.12,0,0,0.2
"local_government",0.25,0.245,1,0,0.24
"local_government community_group",0,0.035,0,0,0.08
"none",0,0.01,0,0,0
"opm",0,0.005,0,0,0
"police",0.0833333333333333,0.115,0,0,0
"police community_group",0,0.03,0,0,0.04
"police local_government",0.25,0.24,0,1,0.16
"police local_government community_group",0.166666666666667,0.19,0,0,0.28
"police local_government opm",0,0.005,0,0,0
"police local_government other",0,0.005,0,0,0
