"","divorced","married","no_answer","single","widowed"
"1",0.1,0.063953488372093,0,0,0
"2",0.1,0.11046511627907,0,0,0.0526315789473684
"3",0.1,0.104651162790698,0,0,0.0526315789473684
"4",0.2,0.151162790697674,0,0,0.210526315789474
"5",0.1,0.104651162790698,0,0,0.0526315789473684
"6",0.2,0.0755813953488372,0,0.5,0.263157894736842
"7",0,0.0755813953488372,1,0,0.105263157894737
"8",0,0.0755813953488372,0,0.5,0.0526315789473684
"9",0.1,0.0523255813953488,0,0,0.0526315789473684
"10",0,0.0697674418604651,0,0,0
"11",0,0.0174418604651163,0,0,0
"12",0,0.0348837209302326,0,0,0
"13",0.1,0.0174418604651163,0,0,0
"14",0,0.00581395348837209,0,0,0
"15",0,0.0174418604651163,0,0,0.157894736842105
"16",0,0.00581395348837209,0,0,0
"17",0,0.00581395348837209,0,0,0
"19",0,0.00581395348837209,0,0,0
"38",0,0.00581395348837209,0,0,0
