"","divorced","married","no_answer","single","widowed"
"",0.666666666666667,0.65,0,0.5,0.6
"further_water_point",0.0833333333333333,0.12,0,0,0.16
"further_water_point use_non_drinking_water",0,0,0,0,0.04
"none",0,0.02,0,0,0.04
"reduce_bathing",0.0833333333333333,0.09,1,0,0.08
"reduce_bathing further_water_point",0,0.055,0,0,0.04
"reduce_bathing other",0,0.005,0,0,0
"reduce_bathing spend_money further_water_point",0,0.01,0,0,0
"reduce_bathing use_non_drinking_water",0,0.005,0,0,0
"reduce_drinking",0.0833333333333333,0.015,0,0,0
"reduce_drinking reduce_bathing",0,0,0,0.5,0
"spend_money",0.0833333333333333,0.03,0,0,0.04
