"","divorced","married","no_answer","single","widowed"
"2",0.0833333333333333,0.01,0,0,0
"6",0,0.005,0,0,0
"10",0,0.005,0,0,0
"15",0,0.005,0,0,0
"40",0,0.035,0,0,0
"48",0,0.005,0,0,0
"50",0.0833333333333333,0.03,0,0,0
"55",0.0833333333333333,0,0,0,0
"60",0,0.07,0,0,0.08
"65",0,0,0,0,0.04
"66",0,0.005,0,0,0
"80",0.0833333333333333,0.125,0,0,0.04
"85",0.0833333333333333,0.005,0,0,0
"90",0,0.015,0,0,0.04
"100",0,0.075,0,0,0.08
"105",0,0.01,0,0,0
"110",0.0833333333333333,0.025,0,0,0.08
"120",0.0833333333333333,0.13,1,0.5,0.08
"125",0,0.005,0,0,0
"130",0.0833333333333333,0.005,0,0,0
"140",0,0.06,0,0.5,0.04
"146",0,0.005,0,0,0
"150",0,0.015,0,0,0.04
"160",0,0.08,0,0,0.08
"165",0,0.005,0,0,0
"170",0,0.015,0,0,0
"175",0,0.01,0,0,0
"178",0,0.005,0,0,0
"180",0.166666666666667,0.035,0,0,0.08
"183",0,0.005,0,0,0
"192",0,0.005,0,0,0
"195",0,0.005,0,0,0.04
"200",0.166666666666667,0.035,0,0,0.08
"210",0,0.005,0,0,0
"220",0,0.02,0,0,0
"240",0,0.065,0,0,0.08
"255",0,0.005,0,0,0
"260",0,0.005,0,0,0.04
"280",0,0.005,0,0,0
"290",0,0.005,0,0,0
"300",0,0.005,0,0,0.04
"320",0,0.015,0,0,0
"350",0,0.005,0,0,0
"360",0,0.005,0,0,0
"400",0,0.005,0,0,0
"410",0,0,0,0,0.04
"480",0,0.005,0,0,0
"800",0,0.005,0,0,0
