"","female","male"
"2525473",0.00925925925925926,0
"2525474",0,0.00757575757575758
"2525475",0.00925925925925926,0
"2525493",0.00925925925925926,0
"2525494",0,0.00757575757575758
"2525532",0,0.00757575757575758
"2525533",0,0.00757575757575758
"2525534",0,0.00757575757575758
"2525664",0.00925925925925926,0
"2525665",0.00925925925925926,0
"2525714",0,0.00757575757575758
"2525715",0,0.00757575757575758
"2525716",0.00925925925925926,0
"2525717",0.00925925925925926,0
"2525718",0.00925925925925926,0
"2525719",0,0.00757575757575758
"2525720",0,0.00757575757575758
"2525722",0,0.00757575757575758
"2525723",0,0.00757575757575758
"2525787",0.00925925925925926,0
"2525788",0,0.00757575757575758
"2525789",0,0.00757575757575758
"2525790",0,0.00757575757575758
"2525791",0,0.00757575757575758
"2533432",0.00925925925925926,0
"2533433",0,0.00757575757575758
"2533434",0,0.00757575757575758
"2533436",0.00925925925925926,0
"2533437",0,0.00757575757575758
"2533439",0.00925925925925926,0
"2533441",0.00925925925925926,0
"2533442",0.00925925925925926,0
"2533443",0.00925925925925926,0
"2533446",0,0.00757575757575758
"2533448",0,0.00757575757575758
"2533449",0,0.00757575757575758
"2533451",0,0.00757575757575758
"2533452",0,0.00757575757575758
"2533453",0,0.00757575757575758
"2533459",0.00925925925925926,0
"2533460",0.00925925925925926,0
"2533461",0.00925925925925926,0
"2533462",0.00925925925925926,0
"2533463",0,0.00757575757575758
"2533464",0.00925925925925926,0
"2533467",0,0.00757575757575758
"2533468",0,0.00757575757575758
"2533469",0,0.00757575757575758
"2533472",0,0.00757575757575758
"2533473",0.00925925925925926,0
"2533475",0.00925925925925926,0
"2533477",0.00925925925925926,0
"2533478",0.00925925925925926,0
"2533479",0.00925925925925926,0
"2537937",0,0.00757575757575758
"2537938",0.00925925925925926,0
"2537940",0,0.00757575757575758
"2537941",0.00925925925925926,0
"2537943",0,0.00757575757575758
"2537944",0,0.00757575757575758
"2537945",0,0.00757575757575758
"2537946",0,0.00757575757575758
"2537947",0,0.00757575757575758
"2537950",0.00925925925925926,0
"2537951",0,0.00757575757575758
"2537953",0,0.00757575757575758
"2537957",0.00925925925925926,0
"2537959",0.00925925925925926,0
"2537960",0,0.00757575757575758
"2537963",0.00925925925925926,0
"2537964",0,0.00757575757575758
"2537966",0.00925925925925926,0
"2537968",0,0.00757575757575758
"2537969",0.00925925925925926,0
"2537971",0.00925925925925926,0
"2537972",0.00925925925925926,0
"2537973",0.00925925925925926,0
"2537974",0,0.00757575757575758
"2537978",0.00925925925925926,0
"2537979",0.00925925925925926,0
"2537980",0,0.00757575757575758
"2537982",0.00925925925925926,0
"2537983",0,0.00757575757575758
"2537984",0,0.00757575757575758
"2559517",0,0.00757575757575758
"2559520",0,0.00757575757575758
"2559524",0,0.00757575757575758
"2559525",0,0.00757575757575758
"2559526",0.00925925925925926,0
"2559527",0,0.00757575757575758
"2559549",0.00925925925925926,0
"2559553",0.00925925925925926,0
"2559555",0.00925925925925926,0
"2559558",0,0.00757575757575758
"2559561",0.00925925925925926,0
"2559564",0,0.00757575757575758
"2559572",0,0.00757575757575758
"2559574",0.00925925925925926,0
"2559575",0,0.00757575757575758
"2559577",0.00925925925925926,0
"2559578",0.00925925925925926,0
"2559579",0.00925925925925926,0
"2559583",0,0.00757575757575758
"2559584",0.00925925925925926,0
"2559587",0.00925925925925926,0
"2559593",0,0.00757575757575758
"2559597",0.00925925925925926,0
"2559600",0,0.00757575757575758
"2559602",0,0.00757575757575758
"2559603",0.00925925925925926,0
"2559604",0.00925925925925926,0
"2559606",0,0.00757575757575758
"2559607",0,0.00757575757575758
"2559609",0.00925925925925926,0
"2576573",0,0.00757575757575758
"2576575",0.00925925925925926,0
"2576577",0,0.00757575757575758
"2576580",0,0.00757575757575758
"2576582",0,0.00757575757575758
"2576584",0,0.00757575757575758
"2576586",0.00925925925925926,0
"2576589",0.00925925925925926,0
"2576591",0.00925925925925926,0
"2576593",0.00925925925925926,0
"2576595",0.00925925925925926,0
"2576597",0.00925925925925926,0
"2576599",0.00925925925925926,0
"2576602",0.00925925925925926,0
"2576608",0.00925925925925926,0
"2576610",0,0.00757575757575758
"2576612",0,0.00757575757575758
"2576613",0.00925925925925926,0
"2576617",0,0.00757575757575758
"2576618",0,0.00757575757575758
"2576621",0,0.00757575757575758
"2576622",0,0.00757575757575758
"2576626",0,0.00757575757575758
"2576636",0,0.00757575757575758
"2576640",0.00925925925925926,0
"2576644",0.00925925925925926,0
"2576677",0.00925925925925926,0
"2576681",0,0.00757575757575758
"2576684",0,0.00757575757575758
"2588008",0,0.00757575757575758
"2588011",0,0.00757575757575758
"2588012",0,0.00757575757575758
"2588016",0,0.00757575757575758
"2588017",0,0.00757575757575758
"2588019",0,0.00757575757575758
"2588022",0.00925925925925926,0
"2588023",0,0.00757575757575758
"2588026",0.00925925925925926,0
"2588029",0.00925925925925926,0
"2588035",0.00925925925925926,0
"2588038",0,0.00757575757575758
"2588040",0.00925925925925926,0
"2588060",0.00925925925925926,0
"2588061",0,0.00757575757575758
"2588066",0.00925925925925926,0
"2588068",0.00925925925925926,0
"2588071",0,0.00757575757575758
"2588075",0.00925925925925926,0
"2588080",0,0.00757575757575758
"2588083",0.00925925925925926,0
"2588086",0,0.00757575757575758
"2588089",0.00925925925925926,0
"2588090",0,0.00757575757575758
"2588091",0.00925925925925926,0
"2588096",0,0.00757575757575758
"2588097",0,0.00757575757575758
"2588101",0,0.00757575757575758
"2588105",0.00925925925925926,0
"2588109",0,0.00757575757575758
"2588111",0,0.00757575757575758
"2601206",0.00925925925925926,0
"2601209",0,0.00757575757575758
"2601213",0,0.00757575757575758
"2601216",0,0.00757575757575758
"2601218",0.00925925925925926,0
"2601219",0,0.00757575757575758
"2601221",0,0.00757575757575758
"2601224",0,0.00757575757575758
"2601227",0.00925925925925926,0
"2601228",0.00925925925925926,0
"2601231",0,0.00757575757575758
"2601258",0,0.00757575757575758
"2601294",0.00925925925925926,0
"2601297",0,0.00757575757575758
"2601308",0.00925925925925926,0
"2601320",0,0.00757575757575758
"2601334",0,0.00757575757575758
"2601338",0,0.00757575757575758
"2601342",0.00925925925925926,0
"2601346",0.00925925925925926,0
"2601358",0.00925925925925926,0
"2601361",0,0.00757575757575758
"2601365",0.00925925925925926,0
"2601366",0,0.00757575757575758
"2601367",0.00925925925925926,0
"2601370",0.00925925925925926,0
"2601372",0,0.00757575757575758
"2601377",0,0.00757575757575758
"2601379",0,0.00757575757575758
"2601407",0.00925925925925926,0
"2601434",0,0.00757575757575758
"2601437",0,0.00757575757575758
"2601440",0.00925925925925926,0
"2601443",0,0.00757575757575758
"2601448",0,0.00757575757575758
"2601449",0,0.00757575757575758
"2607511",0.00925925925925926,0
"2607512",0,0.00757575757575758
"2607513",0.00925925925925926,0
"2607514",0,0.00757575757575758
"2607515",0,0.00757575757575758
"2607516",0,0.00757575757575758
"2607518",0,0.00757575757575758
"2607519",0,0.00757575757575758
"2607520",0.00925925925925926,0
"2607523",0.00925925925925926,0
"2607524",0.00925925925925926,0
"2607526",0,0.00757575757575758
"2607536",0,0.00757575757575758
"2607538",0.00925925925925926,0
"2607539",0,0.00757575757575758
"2607540",0.00925925925925926,0
"2607947",0,0.00757575757575758
"2607948",0,0.00757575757575758
"2607949",0,0.00757575757575758
"2607950",0.00925925925925926,0
"2607952",0.00925925925925926,0
"2607953",0.00925925925925926,0
"2607954",0,0.00757575757575758
"2607955",0.00925925925925926,0
"2607956",0,0.00757575757575758
"2607958",0,0.00757575757575758
"2607960",0.00925925925925926,0
"2607961",0,0.00757575757575758
"2674041",0.00925925925925926,0
"2674046",0,0.00757575757575758
