"","female","male"
"0",0,0.00775193798449612
"1",0.0283018867924528,0.00775193798449612
"2",0.188679245283019,0.0697674418604651
"3",0.19811320754717,0.224806201550388
"4",0.188679245283019,0.27906976744186
"5",0.0849056603773585,0.124031007751938
"6",0.150943396226415,0.0930232558139535
"7",0.0471698113207547,0.0542635658914729
"8",0.0660377358490566,0.0542635658914729
"9",0.00943396226415094,0.0155038759689922
"10",0.0188679245283019,0.0387596899224806
"11",0.00943396226415094,0.00775193798449612
"12",0,0.0155038759689922
"17",0.00943396226415094,0
"20",0,0.00775193798449612
