"","female","male"
"0",0.0185185185185185,0
"1",0.0833333333333333,0.0681818181818182
"2",0.166666666666667,0.143939393939394
"3",0.259259259259259,0.136363636363636
"4",0.175925925925926,0.166666666666667
"5",0.0925925925925926,0.143939393939394
"6",0.0925925925925926,0.0909090909090909
"7",0.0555555555555556,0.0984848484848485
"8",0.037037037037037,0.0681818181818182
"9",0,0.0227272727272727
"10",0.00925925925925926,0.0227272727272727
"11",0,0.00757575757575758
"12",0.00925925925925926,0.00757575757575758
"13",0,0.00757575757575758
"14",0,0.00757575757575758
"21",0,0.00757575757575758
