"","female","male"
"0",0.0185185185185185,0.0151515151515152
"1",0.037037037037037,0.053030303030303
"2",0.111111111111111,0.113636363636364
"3",0.12037037037037,0.121212121212121
"4",0.194444444444444,0.136363636363636
"5",0.157407407407407,0.0833333333333333
"6",0.148148148148148,0.121212121212121
"7",0.0925925925925926,0.0833333333333333
"8",0.0185185185185185,0.121212121212121
"9",0.0277777777777778,0.0378787878787879
"10",0.00925925925925926,0.0454545454545455
"11",0.0277777777777778,0
"12",0.0185185185185185,0.0151515151515152
"13",0,0.0151515151515152
"14",0.00925925925925926,0.0227272727272727
"15",0.00925925925925926,0
"17",0,0.00757575757575758
"21",0,0.00757575757575758
