"","female","male"
"Alfred",0.12037037037037,0.0681818181818182
"Alfred ",0.00925925925925926,0.0151515151515152
"Brian",0.0185185185185185,0.0303030303030303
"Brian ",0.0833333333333333,0.0757575757575758
"Carol",0.00925925925925926,0
"Caroline",0.0833333333333333,0.0984848484848485
"Caroline ",0.00925925925925926,0.00757575757575758
"Irene",0.0277777777777778,0.0151515151515152
"Irene ",0.0462962962962963,0.0984848484848485
"Jackie",0.111111111111111,0.0833333333333333
"Jackie ",0.0185185185185185,0
"John",0.0648148148148148,0.128787878787879
"Kica",0.0185185185185185,0.0984848484848485
"Kica ",0.0185185185185185,0.053030303030303
"Lucy",0.0462962962962963,0.0454545454545455
"Lucy ",0.0555555555555556,0.0606060606060606
"Violet  Biingi",0.0185185185185185,0.0227272727272727
"Violet  Biingi ",0.00925925925925926,0
"Violet Biingi",0.0740740740740741,0.0151515151515152
"Violet Biingi ",0.0462962962962963,0.0227272727272727
"Wanda",0.0185185185185185,0.0151515151515152
"Wanda ",0.0740740740740741,0.0454545454545455
"Wanda Godfrey owor",0.0185185185185185,0
