"","female","male"
"borrow_food",0.0185185185185185,0.0303030303030303
"buy_cheaper_food",0.157407407407407,0.196969696969697
"buy_cheaper_food limit_meal_size",0.0925925925925926,0.0681818181818182
"buy_cheaper_food limit_meal_size borrow_food",0,0.00757575757575758
"buy_cheaper_food limit_meal_size only_children_eat skip_days",0,0.00757575757575758
"buy_cheaper_food limit_meal_size reduce_meal_number",0.0277777777777778,0
"buy_cheaper_food only_children_eat other",0.00925925925925926,0
"buy_cheaper_food reduce_meal_number",0.0185185185185185,0.0378787878787879
"exchange_food",0,0.0151515151515152
"limit_meal_size",0.194444444444444,0.234848484848485
"limit_meal_size borrow_food",0.00925925925925926,0
"limit_meal_size reduce_meal_number",0,0.0227272727272727
"no_answer",0.0185185185185185,0
"none",0.296296296296296,0.25
"only_children_eat",0.0277777777777778,0.00757575757575758
"other",0.00925925925925926,0.0151515151515152
"reduce_meal_number",0.0925925925925926,0.0909090909090909
"reduce_meal_number borrow_food",0.00925925925925926,0
"reduce_meal_number skip_days",0,0.00757575757575758
"reduce_meal_number skip_days borrow_food",0.00925925925925926,0
"skip_days",0.00925925925925926,0.00757575757575758
