"","female","male"
"after_defecating after_eating after_cleaning_baby",0.00925925925925926,0
"after_defecating before_eating",0.00925925925925926,0.0227272727272727
"after_defecating before_eating after_eating",0.157407407407407,0.227272727272727
"after_defecating before_eating after_eating before_feeding_baby",0.00925925925925926,0
"after_defecating before_eating after_eating other",0.0277777777777778,0.00757575757575758
"after_defecating before_eating other",0.0185185185185185,0.00757575757575758
"after_eating",0.00925925925925926,0
"before_cooking after_defecating",0.00925925925925926,0
"before_cooking after_defecating after_eating",0.00925925925925926,0
"before_cooking after_defecating before_eating",0.0277777777777778,0.00757575757575758
"before_cooking after_defecating before_eating after_eating",0.00925925925925926,0.0151515151515152
"before_cooking after_defecating before_eating after_eating before_feeding_baby after_cleaning_baby",0.00925925925925926,0
"before_cooking after_defecating before_eating after_eating other",0,0.00757575757575758
"before_cooking after_defecating before_eating before_feeding_baby other",0.00925925925925926,0
"before_cooking after_eating",0.00925925925925926,0
"before_cooking before_eating after_eating",0.0185185185185185,0
"before_eating",0,0.00757575757575758
"before_eating after_eating",0.0277777777777778,0.0151515151515152
"dirty_hands",0.00925925925925926,0.0227272727272727
"dirty_hands after_defecating",0,0.0378787878787879
"dirty_hands after_defecating after_eating",0,0.00757575757575758
"dirty_hands after_defecating after_eating other",0,0.00757575757575758
"dirty_hands after_defecating before_eating",0.0462962962962963,0.0984848484848485
"dirty_hands after_defecating before_eating after_eating",0.148148148148148,0.174242424242424
"dirty_hands after_defecating before_eating after_eating after_cleaning_baby",0.00925925925925926,0.00757575757575758
"dirty_hands after_defecating before_eating before_feeding_baby",0.00925925925925926,0
"dirty_hands after_defecating before_eating other",0.00925925925925926,0
"dirty_hands after_defecating other",0.0277777777777778,0
"dirty_hands after_eating",0.00925925925925926,0.0151515151515152
"dirty_hands before_cooking after_defecating",0.0185185185185185,0
"dirty_hands before_cooking after_defecating before_eating",0.00925925925925926,0.0227272727272727
"dirty_hands before_cooking after_defecating before_eating after_cleaning_baby",0.00925925925925926,0
"dirty_hands before_cooking after_defecating before_eating after_eating",0.111111111111111,0.0833333333333333
"dirty_hands before_cooking after_defecating before_eating after_eating after_cleaning_baby",0.0185185185185185,0.0227272727272727
"dirty_hands before_cooking after_defecating before_eating after_eating before_feeding_baby",0.0185185185185185,0.00757575757575758
"dirty_hands before_cooking after_defecating before_eating after_eating before_feeding_baby after_cleaning_baby",0.0277777777777778,0
"dirty_hands before_cooking after_defecating before_eating before_feeding_baby",0,0.00757575757575758
"dirty_hands before_cooking after_defecating before_eating before_feeding_baby after_cleaning_baby",0.00925925925925926,0
"dirty_hands before_cooking after_defecating before_eating other",0.00925925925925926,0
"dirty_hands before_cooking after_defecating before_feeding_baby",0,0.00757575757575758
"dirty_hands before_cooking before_eating",0.00925925925925926,0
"dirty_hands before_cooking before_eating after_eating",0,0.00757575757575758
"dirty_hands before_eating",0,0.0227272727272727
"dirty_hands before_eating after_eating",0.0925925925925926,0.106060606060606
"dirty_hands before_eating after_eating before_feeding_baby",0.00925925925925926,0
"dirty_hands before_eating before_feeding_baby",0.0185185185185185,0
"dirty_hands before_eating other",0,0.00757575757575758
"dirty_hands before_praying",0,0.00757575757575758
"other",0,0.00757575757575758
