"","female","male"
"",0.935185185185185,0.901515151515151
" General body health",0.00925925925925926,0
"1",0,0.00757575757575758
"Attack  by evil  spirit and sinus ",0.00925925925925926,0
"Attack by evil spirit",0.00925925925925926,0
"Cough, flu",0.00925925925925926,0
"Coughs ",0,0.00757575757575758
"Diabetes",0,0.00757575757575758
"Digestive infections",0.00925925925925926,0
"Duodenal  ulcers ",0,0.00757575757575758
"Epilepsy",0,0.00757575757575758
"Evil spirits  always  attack  some  children ",0.00925925925925926,0
"Eye problems",0.00925925925925926,0
"Heart burn",0,0.00757575757575758
"Heart disease ",0,0.00757575757575758
"one member suffering from either stroke or paralysis ",0,0.00757575757575758
"Pararised heads",0,0.00757575757575758
"Stomachache ",0,0.00757575757575758
"There's a kid whose rectum protudes outward during defecation ",0,0.00757575757575758
"Typhoid",0,0.00757575757575758
"Typhoid, yellow fever, heartburn. ",0,0.00757575757575758
