"","female","male"
"",0.462962962962963,0.477272727272727
"abduction early_marriage",0,0.00757575757575758
"attack_host",0.0185185185185185,0.0378787878787879
"attack_host cattle_raid",0.00925925925925926,0
"attack_host cattle_raid early_marriage",0.00925925925925926,0
"attack_host cattle_raid other",0,0.0151515151515152
"attack_host early_marriage",0.00925925925925926,0
"attack_host harassment_host",0.00925925925925926,0.00757575757575758
"attack_host harassment_host early_marriage",0,0.00757575757575758
"attack_host harassment_host sexual_violence",0.0185185185185185,0
"attack_host other",0.037037037037037,0.0151515151515152
"attack_host sexual_violence abduction",0,0.00757575757575758
"attack_host sexual_violence early_marriage",0.0185185185185185,0
"attack_host sexual_violence other",0,0.0151515151515152
"cattle_raid",0.0833333333333333,0.0606060606060606
"cattle_raid early_marriage",0,0.0151515151515152
"cattle_raid other",0.00925925925925926,0.0227272727272727
"early_marriage",0.0185185185185185,0.0151515151515152
"early_marriage other",0.0185185185185185,0
"harassment_host",0.037037037037037,0.00757575757575758
"harassment_host abduction forced_recruitment",0.00925925925925926,0
"harassment_host early_marriage other",0.00925925925925926,0
"harassment_host sexual_violence",0.00925925925925926,0
"harassment_host sexual_violence early_marriage",0.00925925925925926,0
"harassment_host sexual_violence other",0.00925925925925926,0
"no_answer",0.00925925925925926,0.0151515151515152
"none",0.00925925925925926,0.0227272727272727
"other",0.12962962962963,0.204545454545455
"sexual_violence",0.0185185185185185,0
"sexual_violence early_marriage",0,0.0151515151515152
"sexual_violence early_marriage other",0.00925925925925926,0.0227272727272727
"sexual_violence other",0.0185185185185185,0.00757575757575758
