"","female","male"
"",0.759259259259259,0.696969696969697
"Access to services",0,0.00757575757575758
"Alcoholism which leads to over fighting in the village ",0.00925925925925926,0
"Attack by wild animals especially elephants",0.00925925925925926,0
"Attacks by elephants that destroys the food that has been cultivated for consumption ",0,0.00757575757575758
"Attacks from animals",0.00925925925925926,0
"Attacks from wild animals",0,0.0151515151515152
"Because our shelter we sleep in is so bad so this puts us on fear that any thing can happen when we are sleeping ",0.00925925925925926,0
"Being robbed by thieves in the night",0,0.00757575757575758
"Crops are always attack by wild animals",0.00925925925925926,0
"Elephant attack",0.0185185185185185,0
"Land eviction ",0,0.00757575757575758
"Land evictions ",0.00925925925925926,0
"Land evictions from areas of residence ",0,0.00757575757575758
"Land gazetted for development by the government",0.00925925925925926,0
"Night dancers ",0,0.00757575757575758
"Poultry  theft",0,0.00757575757575758
"Rampant theft ",0,0.00757575757575758
"Rampant Theft ",0,0.00757575757575758
"Security is far away from us",0.00925925925925926,0
"Security posts are far so this gives thieves do much of stealing ",0,0.00757575757575758
"Stealing food from gardenLG",0,0.00757575757575758
"Stealing of food from gardens",0,0.00757575757575758
"Theft",0.0277777777777778,0.0227272727272727
"Theft ",0.00925925925925926,0.00757575757575758
"Theft and witches",0,0.00757575757575758
"Theft by other members in the village",0.00925925925925926,0
"Theft is also rampant ",0.00925925925925926,0
"Theft is so high",0,0.00757575757575758
"Theft is so high and nothing is always done to such people due to corrupt leadership ",0,0.00757575757575758
"Theft like stealing of properties e.g goats,chicken etc",0,0.00757575757575758
"Theft of animals and poultry ",0,0.00757575757575758
"Theft of animals and properties ",0.00925925925925926,0
"Theft of items in the village ",0,0.00757575757575758
"Theft of properties is rampant, Attacks by elephants on their crops ",0,0.00757575757575758
"Theft of property ",0,0.00757575757575758
"Theft( stealing our belongings put us at risk every time )",0.00925925925925926,0
"Thefty",0.0185185185185185,0.0606060606060606
"Thefty ",0.00925925925925926,0.0151515151515152
"Their  land was taken by the government  investors ",0,0.00757575757575758
"Thieves",0,0.00757575757575758
"Wetches",0.00925925925925926,0
"Wild animals ",0,0.00757575757575758
"Wild animals always destroy my crops",0.00925925925925926,0
"Witch craft and wizards",0.00925925925925926,0
"Witch craft is being practiced seriously ",0,0.00757575757575758
"Witchcraft ",0.00925925925925926,0
"Witchcraft attack by neighbours",0.00925925925925926,0
