"","female","male"
"",0,0.0151515151515152
"debt",0.101851851851852,0.106060606060606
"debt reduce_spending",0,0.00757575757575758
"debt sold_assistance",0.00925925925925926,0
"humanitarian_aid",0.00925925925925926,0
"none",0.0555555555555556,0.0984848484848485
"reduce_spending",0.00925925925925926,0.0151515151515152
"selling_assets",0.12037037037037,0.181818181818182
"selling_assets debt",0,0.00757575757575758
"selling_assets other",0,0.00757575757575758
"selling_assets reduce_spending",0,0.0151515151515152
"spent_savings",0.324074074074074,0.272727272727273
"spent_savings charitable_donations debt sold_assistance",0.00925925925925926,0
"spent_savings debt",0.037037037037037,0.0681818181818182
"spent_savings reduce_spending",0,0.00757575757575758
"spent_savings selling_assets",0.0555555555555556,0.0303030303030303
"spent_savings selling_assets debt",0,0.00757575757575758
"spent_savings sold_assistance",0.00925925925925926,0
"spent_savings support_from_friends_relatives",0.037037037037037,0.0303030303030303
"spent_savings support_from_friends_relatives debt",0.0185185185185185,0.00757575757575758
"spent_savings support_from_friends_relatives selling_assets",0.037037037037037,0.0151515151515152
"support_from_friends_relatives",0.12037037037037,0.0833333333333333
"support_from_friends_relatives debt",0.0185185185185185,0
"support_from_friends_relatives selling_assets",0.0277777777777778,0.00757575757575758
"support_from_friends_relatives selling_assets debt",0,0.0151515151515152
