"","female","male"
"bedding",0.0185185185185185,0.0303030303030303
"bedding hygiene_items",0,0.0151515151515152
"bedding hygiene_items kitchen_tools",0.0462962962962963,0.0303030303030303
"bedding hygiene_items other",0.00925925925925926,0
"bedding hygiene_items sanitary_pads",0.0462962962962963,0.00757575757575758
"bedding hygiene_items water_storage",0.101851851851852,0.0151515151515152
"bedding kitchen_tools",0.0185185185185185,0.0303030303030303
"bedding kitchen_tools sanitary_pads",0.0277777777777778,0.0378787878787879
"bedding mosquito_nets",0.00925925925925926,0.00757575757575758
"bedding mosquito_nets hygiene_items",0.0185185185185185,0.00757575757575758
"bedding mosquito_nets kitchen_tools",0,0.0227272727272727
"bedding mosquito_nets other",0.00925925925925926,0.00757575757575758
"bedding mosquito_nets sanitary_pads",0.0277777777777778,0.0378787878787879
"bedding mosquito_nets water_storage",0.0925925925925926,0.0378787878787879
"bedding other",0.00925925925925926,0.0227272727272727
"bedding sanitary_pads",0.00925925925925926,0.0227272727272727
"bedding sanitary_pads other",0.0185185185185185,0
"bedding water_storage",0.037037037037037,0.053030303030303
"bedding water_storage kitchen_tools",0.148148148148148,0.196969696969697
"bedding water_storage other",0.00925925925925926,0.00757575757575758
"bedding water_storage sanitary_pads",0.0462962962962963,0.0378787878787879
"hygiene_items",0.00925925925925926,0
"hygiene_items kitchen_tools",0.00925925925925926,0.00757575757575758
"hygiene_items kitchen_tools sanitary_pads",0.0185185185185185,0.0227272727272727
"hygiene_items sanitary_pads",0.00925925925925926,0
"hygiene_items water_storage",0.00925925925925926,0
"hygiene_items water_storage kitchen_tools",0.00925925925925926,0.0151515151515152
"hygiene_items water_storage sanitary_pads",0.00925925925925926,0.00757575757575758
"kitchen_tools",0.00925925925925926,0.0151515151515152
"kitchen_tools sanitary_pads",0.00925925925925926,0
"mosquito_nets",0.00925925925925926,0
"mosquito_nets hygiene_items kitchen_tools",0,0.00757575757575758
"mosquito_nets hygiene_items water_storage",0,0.00757575757575758
"mosquito_nets kitchen_tools other",0,0.00757575757575758
"mosquito_nets kitchen_tools sanitary_pads",0.00925925925925926,0
"mosquito_nets sanitary_pads",0,0.0151515151515152
"mosquito_nets water_storage kitchen_tools",0.00925925925925926,0
"no_answer",0.00925925925925926,0.00757575757575758
"none",0.0185185185185185,0.0227272727272727
"other",0.0185185185185185,0.0757575757575758
"sanitary_pads",0.0185185185185185,0.00757575757575758
"sanitary_pads other",0.00925925925925926,0
"water_storage",0.0185185185185185,0.0227272727272727
"water_storage kitchen_tools",0.0277777777777778,0.0454545454545455
"water_storage kitchen_tools other",0,0.00757575757575758
"water_storage kitchen_tools sanitary_pads",0.0185185185185185,0.0378787878787879
"water_storage other",0.00925925925925926,0.0151515151515152
"water_storage sanitary_pads",0.0277777777777778,0.0227272727272727
