"","female","male"
"",0.907407407407407,0.871212121212121
"Bicycle, permanent latrine",0,0.00757575757575758
"Chairs",0.00925925925925926,0
"Clothes ",0.00925925925925926,0.00757575757575758
"Clothes, house items",0.00925925925925926,0
"Cloths",0.00925925925925926,0
"Fuel for cooking",0.00925925925925926,0
"Goat, cows, money. ",0,0.00757575757575758
"House hold items",0.00925925925925926,0
"House,motorcycle",0.00925925925925926,0
"Household utensils",0.00925925925925926,0
"Improved cooking stove",0,0.00757575757575758
"Iron sheets and lighting system like solar or electricity ",0,0.00757575757575758
"Land",0,0.00757575757575758
"Lighting system especially solar or electricity and radios to be up-to-date ",0,0.00757575757575758
"More torches",0,0.00757575757575758
"Ox-plough, oxen, roads, lands ",0,0.00757575757575758
"Pens, books for children. ",0,0.00757575757575758
"Shelter",0,0.0227272727272727
"Solar system for light",0.00925925925925926,0
"Tables, chairs, beddings.",0,0.00757575757575758
"Tapline for drying agricultural products",0.00925925925925926,0
"Tapline for drying crops",0,0.00757575757575758
"Tree seedlings, eucalyptus. ",0,0.00757575757575758
"TV, bicycle. ",0,0.00757575757575758
